Date,City,Product,Category,Quantity,Unit Price,Total Sales,Channel
1-May-2023,Kolkata,Smartwatch,Wearables,10,45906.53,459065.30,Online
29-Nov-2023,Delhi,Smartphone,Mobiles,3,68980.21,206940.63,Retail Store
30-Sep-2024,Mumbai,Laptop,Computers,9,58186.83,523681.47,Online
28-Jun-2024,Mumbai,LED TV,Television,8,84227.57,673820.56,Online
12-Dec-2024,Kolkata,Headphones,Audio,3,83678.42,251035.26,Retail Store
27-Jan-2023,Pune,LED TV,Television,4,32524.58,130098.32,Retail Store
20-Feb-2023,Mumbai,Laptop,Computers,1,90400.15,90400.15,Retail Store
3-Mar-2022,Hyderabad,Headphones,Audio,3,78547.46,235642.38,Online
9-Jan-2024,Bengaluru,LED TV,Television,2,108880.69,217761.38,Online
19-Feb-2022,Bengaluru,Headphones,Audio,4,68555.50,274222.00,Retail Store
28-Mar-2022,Chennai,Smartphone,Mobiles,3,22347.87,67043.61,Retail Store
26-Oct-2024,Hyderabad,Laptop,Computers,4,37668.87,150675.48,Retail Store
10-May-2024,Chennai,Bluetooth Speaker,Audio,10,60466.05,604660.50,Online
4-Apr-2023,Delhi,Headphones,Audio,10,43085.86,430858.60,Retail Store
29-Feb-2024,Pune,LED TV,Television,6,97666.15,585996.90,Retail Store
25-Dec-2023,Mumbai,LED TV,Television,9,113860.02,1024740.18,Retail Store
1-Feb-2022,Jaipur,Tablet,Tablets,1,108317.55,108317.55,Online
7-Jan-2022,Hyderabad,Headphones,Audio,8,64141.28,513130.24,Retail Store
14-Jun-2022,Mumbai,LED TV,Television,1,118914.52,118914.52,Online
27-Oct-2022,Chennai,Laptop,Computers,1,104422.18,104422.18,Retail Store
9-Aug-2022,Jaipur,LED TV,Television,3,74498.69,223496.07,Online
17-Apr-2022,Kolkata,LED TV,Television,1,57955.37,57955.37,Retail Store
23-Oct-2023,Jaipur,Smartphone,Mobiles,4,75425.67,301702.68,Online
11-Nov-2023,Chennai,Laptop,Computers,3,27254.59,81763.77,Retail Store
3-Sep-2023,Hyderabad,Headphones,Audio,2,42303.93,84607.86,Retail Store
31-Jan-2023,Mumbai,Smartphone,Mobiles,1,113800.29,113800.29,Retail Store
11-Dec-2023,Mumbai,Tablet,Tablets,3,62265.35,186796.05,Online
20-Mar-2023,Hyderabad,Headphones,Audio,2,116938.46,233876.92,Retail Store
4-Oct-2024,Kolkata,Tablet,Tablets,2,100668.99,201337.98,Retail Store
8-May-2022,Delhi,Tablet,Tablets,9,56462.20,508159.80,Retail Store
13-Feb-2023,Jaipur,Bluetooth Speaker,Audio,2,10704.00,21408.00,Online
20-Oct-2022,Kolkata,Smartphone,Mobiles,10,27276.49,272764.90,Online
19-Oct-2024,Kolkata,Headphones,Audio,5,53715.96,268579.80,Online
1-Jan-2024,Mumbai,Tablet,Tablets,9,26478.09,238302.81,Online
5-Jan-2024,Chennai,Keyboard,Accessories,7,49643.91,347507.37,Retail Store
1-Jan-2023,Hyderabad,Smartwatch,Wearables,9,21488.38,193395.42,Retail Store
25-Jul-2024,Jaipur,LED TV,Television,6,119411.83,716470.98,Online
20-Aug-2024,Delhi,Tablet,Tablets,9,52065.12,468586.08,Retail Store
19-Dec-2023,Kolkata,Keyboard,Accessories,1,16430.42,16430.42,Online
14-Feb-2024,Mumbai,LED TV,Television,8,20941.04,167528.32,Online
18-Nov-2022,Chennai,Smartwatch,Wearables,6,14270.57,85623.42,Online
8-Sep-2024,Mumbai,Tablet,Tablets,2,84360.83,168721.66,Retail Store
13-Dec-2024,Chennai,Laptop,Computers,8,43483.89,347871.12,Retail Store
2-Jul-2022,Bengaluru,Keyboard,Accessories,2,81341.88,162683.76,Retail Store
24-Apr-2023,Mumbai,LED TV,Television,7,11423.39,79963.73,Retail Store
23-Jun-2023,Jaipur,Laptop,Computers,10,93933.22,939332.20,Online
9-May-2023,Delhi,LED TV,Television,7,13338.69,93370.83,Retail Store
1-Jan-2024,Kolkata,Smartphone,Mobiles,3,68331.32,204993.96,Retail Store
4-Dec-2023,Kolkata,Laptop,Computers,8,49481.36,395850.88,Retail Store
25-Oct-2022,Chennai,Smartphone,Mobiles,2,67107.37,134214.74,Retail Store
22-Apr-2022,Bengaluru,Keyboard,Accessories,6,86538.55,519231.30,Retail Store
6-Oct-2024,Hyderabad,Bluetooth Speaker,Audio,1,96539.76,96539.76,Retail Store
17-May-2022,Bengaluru,Bluetooth Speaker,Audio,1,115678.39,115678.39,Retail Store
13-May-2022,Delhi,Smartphone,Mobiles,7,100907.53,706352.71,Retail Store
16-Oct-2024,Mumbai,LED TV,Television,2,57481.21,114962.42,Retail Store
31-Jan-2023,Bengaluru,Smartphone,Mobiles,7,117226.94,820588.58,Retail Store
26-Oct-2022,Kolkata,Tablet,Tablets,6,31519.34,189116.04,Retail Store
18-Jan-2024,Pune,Smartwatch,Wearables,10,67329.71,673297.10,Retail Store
25-Jul-2022,Hyderabad,Headphones,Audio,6,47571.54,285429.24,Online
5-Jul-2022,Jaipur,Smartphone,Mobiles,7,92352.13,646464.91,Online
18-Feb-2023,Kolkata,Smartphone,Mobiles,8,85185.12,681480.96,Online
4-Dec-2023,Kolkata,Headphones,Audio,6,15319.33,91915.98,Online
4-Aug-2023,Mumbai,LED TV,Television,6,106715.06,640290.36,Online
23-Sep-2024,Jaipur,Keyboard,Accessories,10,56590.23,565902.30,Online
9-Oct-2022,Mumbai,Headphones,Audio,8,74294.11,594352.88,Online
17-Apr-2024,Hyderabad,Keyboard,Accessories,7,36250.32,253752.24,Retail Store
28-Nov-2023,Jaipur,Smartwatch,Wearables,2,23418.18,46836.36,Retail Store
22-Jan-2022,Chennai,Keyboard,Accessories,2,89814.28,179628.56,Online
11-Dec-2022,Chennai,Laptop,Computers,1,97025.56,97025.56,Online
7-Oct-2022,Jaipur,Headphones,Audio,10,12126.28,121262.80,Online
8-May-2023,Jaipur,Headphones,Audio,2,107237.92,214475.84,Online
6-Jun-2023,Bengaluru,Tablet,Tablets,3,84931.64,254794.92,Online
7-Mar-2024,Hyderabad,Smartwatch,Wearables,7,115667.85,809674.95,Retail Store
3-Jan-2023,Delhi,Keyboard,Accessories,2,85747.24,171494.48,Online
31-Aug-2022,Mumbai,Laptop,Computers,3,66036.50,198109.50,Retail Store
14-Jan-2022,Pune,Bluetooth Speaker,Audio,5,75576.71,377883.55,Online
21-Feb-2023,Bengaluru,Smartphone,Mobiles,5,101938.59,509692.95,Online
1-Feb-2024,Mumbai,Keyboard,Accessories,8,50764.07,406112.56,Online
30-May-2023,Kolkata,Bluetooth Speaker,Audio,10,55997.60,559976.00,Online
13-Jun-2022,Pune,Tablet,Tablets,6,12130.20,72781.20,Retail Store
22-Apr-2023,Delhi,Tablet,Tablets,7,115057.21,805400.47,Online
15-Aug-2023,Hyderabad,LED TV,Television,7,24695.79,172870.53,Retail Store
17-May-2024,Jaipur,Smartphone,Mobiles,5,29204.01,146020.05,Online
2-Apr-2022,Jaipur,Laptop,Computers,9,65868.89,592820.01,Online
8-May-2022,Jaipur,LED TV,Television,7,54644.74,382513.18,Retail Store
19-Dec-2023,Hyderabad,Laptop,Computers,4,71713.09,286852.36,Retail Store
17-Dec-2023,Delhi,Bluetooth Speaker,Audio,6,100206.35,601238.10,Online
15-Aug-2023,Hyderabad,Laptop,Computers,2,40042.04,80084.08,Online
5-Nov-2023,Mumbai,Smartphone,Mobiles,10,21875.11,218751.10,Online
7-Jun-2024,Delhi,Smartwatch,Wearables,5,82326.52,411632.60,Online
29-Dec-2023,Jaipur,Smartphone,Mobiles,5,68545.30,342726.50,Retail Store
24-Nov-2023,Pune,Tablet,Tablets,8,67435.89,539487.12,Online
24-Jul-2024,Jaipur,Tablet,Tablets,10,44481.98,444819.80,Online
7-Dec-2022,Mumbai,Smartphone,Mobiles,7,16351.12,114457.84,Online
25-Sep-2023,Mumbai,Smartwatch,Wearables,10,87645.88,876458.80,Retail Store
19-Jun-2022,Hyderabad,Keyboard,Accessories,1,56129.19,56129.19,Online
23-Oct-2023,Jaipur,Smartwatch,Wearables,2,23415.16,46830.32,Online
19-Sep-2023,Kolkata,Bluetooth Speaker,Audio,10,44230.01,442300.10,Online
5-May-2024,Chennai,Bluetooth Speaker,Audio,3,30593.74,91781.22,Retail Store
19-Jun-2022,Mumbai,Smartphone,Mobiles,6,78044.43,468266.58,Online
22-Sep-2023,Hyderabad,Laptop,Computers,9,40436.61,363929.49,Online
10-Feb-2023,Bengaluru,Bluetooth Speaker,Audio,9,12686.92,114182.28,Online
8-Oct-2023,Jaipur,LED TV,Television,2,107282.41,214564.82,Retail Store
14-Nov-2024,Bengaluru,Headphones,Audio,9,54153.76,487383.84,Retail Store
17-Mar-2024,Pune,Headphones,Audio,4,88455.06,353820.24,Retail Store
25-Apr-2024,Kolkata,Bluetooth Speaker,Audio,7,111927.15,783490.05,Retail Store
24-Jan-2023,Mumbai,Keyboard,Accessories,5,101782.19,508910.95,Online
21-Jul-2024,Jaipur,LED TV,Television,1,84519.55,84519.55,Retail Store
11-Oct-2022,Delhi,LED TV,Television,6,28852.51,173115.06,Retail Store
19-Sep-2024,Hyderabad,Smartphone,Mobiles,2,111696.25,223392.50,Online
30-May-2022,Kolkata,Smartphone,Mobiles,10,7081.01,70810.10,Retail Store
23-Jun-2024,Pune,Smartphone,Mobiles,6,97828.03,586968.18,Retail Store
17-Apr-2024,Bengaluru,LED TV,Television,8,11583.41,92667.28,Online
8-Apr-2024,Bengaluru,Laptop,Computers,3,43315.68,129947.04,Online
19-Dec-2023,Kolkata,Tablet,Tablets,8,40158.86,321270.88,Online
28-Jul-2024,Delhi,Headphones,Audio,6,49386.36,296318.16,Online
21-Dec-2024,Delhi,Smartphone,Mobiles,7,31972.56,223807.92,Online
23-Jun-2024,Mumbai,LED TV,Television,10,5221.58,52215.80,Retail Store
21-Aug-2022,Jaipur,Keyboard,Accessories,10,111049.74,1110497.40,Retail Store
21-Sep-2024,Bengaluru,Laptop,Computers,8,12388.90,99111.20,Retail Store
1-Dec-2024,Kolkata,Tablet,Tablets,4,8376.93,33507.72,Retail Store
15-Jun-2024,Delhi,Laptop,Computers,8,98970.92,791767.36,Retail Store
3-Aug-2023,Bengaluru,Bluetooth Speaker,Audio,2,99251.44,198502.88,Retail Store
6-Apr-2024,Chennai,Keyboard,Accessories,9,12843.63,115592.67,Retail Store
30-Jun-2024,Hyderabad,LED TV,Television,10,15410.68,154106.80,Online
25-Aug-2024,Kolkata,Bluetooth Speaker,Audio,9,8269.83,74428.47,Retail Store
28-May-2022,Kolkata,Headphones,Audio,7,65310.68,457174.76,Online
29-Mar-2023,Bengaluru,Keyboard,Accessories,7,91685.21,641796.47,Online
27-Feb-2024,Chennai,Smartphone,Mobiles,6,88125.68,528754.08,Retail Store
26-Feb-2022,Delhi,Headphones,Audio,7,39453.72,276176.04,Online
30-Dec-2024,Kolkata,Smartwatch,Wearables,10,53544.45,535444.50,Retail Store
30-May-2022,Jaipur,Tablet,Tablets,4,40485.21,161940.84,Online
18-Jun-2023,Jaipur,Keyboard,Accessories,3,26442.98,79328.94,Retail Store
16-Jan-2023,Delhi,Smartphone,Mobiles,1,74322.92,74322.92,Retail Store
8-Feb-2024,Bengaluru,Smartwatch,Wearables,1,104682.97,104682.97,Retail Store
16-Jun-2023,Mumbai,Smartwatch,Wearables,9,58830.16,529471.44,Online
20-Aug-2022,Hyderabad,Tablet,Tablets,4,32458.38,129833.52,Online
26-Apr-2023,Bengaluru,Smartphone,Mobiles,8,23204.92,185639.36,Retail Store
12-Feb-2023,Hyderabad,Keyboard,Accessories,8,86213.45,689707.60,Online
13-Oct-2024,Hyderabad,LED TV,Television,2,52690.03,105380.06,Retail Store
4-Jun-2023,Hyderabad,Laptop,Computers,6,101273.36,607640.16,Online
10-Jun-2023,Jaipur,Laptop,Computers,6,74367.93,446207.58,Online
4-Jun-2023,Bengaluru,Keyboard,Accessories,1,59788.70,59788.70,Online
9-Feb-2023,Jaipur,Tablet,Tablets,9,105530.37,949773.33,Retail Store
9-May-2023,Mumbai,Bluetooth Speaker,Audio,3,110747.97,332243.91,Online
4-Apr-2022,Delhi,LED TV,Television,8,90442.12,723536.96,Online
24-Sep-2024,Kolkata,Keyboard,Accessories,2,107623.80,215247.60,Retail Store
16-Jul-2022,Chennai,Smartwatch,Wearables,4,111533.96,446135.84,Retail Store
23-Mar-2022,Hyderabad,Keyboard,Accessories,1,88054.69,88054.69,Online
8-Jun-2024,Chennai,Bluetooth Speaker,Audio,5,48393.19,241965.95,Retail Store
7-Jul-2023,Hyderabad,Laptop,Computers,5,71989.35,359946.75,Online
3-Sep-2024,Bengaluru,Tablet,Tablets,8,31928.41,255427.28,Online
4-Mar-2023,Delhi,Bluetooth Speaker,Audio,7,5909.78,41368.46,Online
15-Dec-2022,Bengaluru,Smartwatch,Wearables,10,95744.31,957443.10,Retail Store
29-Nov-2023,Bengaluru,Tablet,Tablets,1,33777.83,33777.83,Online
2-Jul-2024,Mumbai,Laptop,Computers,4,68009.24,272036.96,Online
16-Jan-2024,Pune,Smartwatch,Wearables,10,113557.66,1135576.60,Retail Store
6-Jun-2024,Chennai,LED TV,Television,5,41929.09,209645.45,Retail Store
4-Feb-2022,Hyderabad,LED TV,Television,2,34637.60,69275.20,Retail Store
21-Aug-2022,Mumbai,Headphones,Audio,3,91290.90,273872.70,Online
2-Jan-2023,Jaipur,Laptop,Computers,10,80092.06,800920.60,Online
27-Aug-2024,Hyderabad,Bluetooth Speaker,Audio,3,93901.44,281704.32,Retail Store
28-Dec-2022,Bengaluru,Headphones,Audio,6,80486.50,482919.00,Online
7-Sep-2024,Hyderabad,Smartphone,Mobiles,7,17070.30,119492.10,Online
25-Jan-2022,Chennai,Laptop,Computers,6,15389.47,92336.82,Online
27-Apr-2024,Bengaluru,Tablet,Tablets,2,110898.08,221796.16,Online
6-Jun-2023,Pune,Smartphone,Mobiles,3,87943.13,263829.39,Retail Store
17-Sep-2024,Mumbai,Headphones,Audio,7,102444.83,717113.81,Online
14-Aug-2024,Delhi,Smartphone,Mobiles,3,93635.25,280905.75,Online
12-May-2024,Delhi,LED TV,Television,2,81074.13,162148.26,Online
8-May-2022,Jaipur,Smartphone,Mobiles,10,8075.65,80756.50,Online
25-Apr-2024,Hyderabad,Bluetooth Speaker,Audio,1,24236.33,24236.33,Retail Store
12-Dec-2022,Chennai,Laptop,Computers,1,108053.05,108053.05,Online
24-Mar-2022,Mumbai,LED TV,Television,1,14869.82,14869.82,Online
14-Mar-2023,Delhi,Smartphone,Mobiles,7,63090.95,441636.65,Retail Store
15-Jan-2022,Kolkata,Laptop,Computers,3,33192.41,99577.23,Online
10-Mar-2022,Bengaluru,Smartwatch,Wearables,3,112820.48,338461.44,Retail Store
1-Sep-2023,Chennai,Keyboard,Accessories,4,34723.94,138895.76,Retail Store
18-Oct-2022,Hyderabad,Headphones,Audio,7,65579.95,459059.65,Retail Store
2-Sep-2023,Hyderabad,LED TV,Television,1,7991.03,7991.03,Online
9-Apr-2024,Chennai,Smartwatch,Wearables,6,100314.33,601885.98,Retail Store
18-Nov-2024,Bengaluru,Laptop,Computers,6,86838.47,521030.82,Online
29-Dec-2023,Jaipur,Smartwatch,Wearables,5,85916.22,429581.10,Retail Store
30-Jun-2023,Jaipur,Smartphone,Mobiles,4,60952.90,243811.60,Online
19-Oct-2023,Delhi,Smartphone,Mobiles,9,44537.42,400836.78,Retail Store
15-Jan-2023,Chennai,Laptop,Computers,10,35755.57,357555.70,Online
5-Nov-2022,Pune,LED TV,Television,5,119266.88,596334.40,Online
24-Oct-2024,Pune,Keyboard,Accessories,5,10270.48,51352.40,Retail Store
7-Dec-2024,Mumbai,Smartwatch,Wearables,4,81348.71,325394.84,Online
6-Jan-2022,Chennai,Keyboard,Accessories,6,25832.89,154997.34,Retail Store
1-Nov-2023,Chennai,Smartwatch,Wearables,4,68897.05,275588.20,Retail Store
31-Dec-2023,Hyderabad,Headphones,Audio,1,15980.38,15980.38,Retail Store
12-Apr-2023,Delhi,Keyboard,Accessories,5,34185.95,170929.75,Retail Store
23-Nov-2024,Bengaluru,Bluetooth Speaker,Audio,2,92795.07,185590.14,Retail Store
3-Mar-2023,Pune,Bluetooth Speaker,Audio,10,48056.37,480563.70,Online
22-Dec-2022,Mumbai,LED TV,Television,3,12446.02,37338.06,Online
2-May-2023,Mumbai,LED TV,Television,5,51855.69,259278.45,Online
2-Mar-2023,Chennai,Laptop,Computers,9,21653.69,194883.21,Online
20-May-2022,Hyderabad,Headphones,Audio,1,41598.97,41598.97,Online
21-Sep-2023,Mumbai,Smartwatch,Wearables,7,66226.68,463586.76,Online
5-Jun-2022,Chennai,Bluetooth Speaker,Audio,10,106941.94,1069419.40,Retail Store
12-Aug-2023,Pune,LED TV,Television,6,62604.26,375625.56,Retail Store
31-Jan-2022,Bengaluru,Bluetooth Speaker,Audio,2,102160.11,204320.22,Retail Store
27-Jul-2023,Mumbai,Tablet,Tablets,7,69619.32,487335.24,Retail Store
8-Feb-2024,Jaipur,Tablet,Tablets,4,20709.56,82838.24,Retail Store
8-Sep-2023,Chennai,Tablet,Tablets,9,57498.33,517484.97,Retail Store
6-Dec-2024,Kolkata,Smartwatch,Wearables,3,11675.99,35027.97,Retail Store
11-Jun-2024,Chennai,Smartwatch,Wearables,6,97755.93,586535.58,Online
8-May-2022,Pune,Smartphone,Mobiles,4,51544.80,206179.20,Online
5-Aug-2023,Pune,Bluetooth Speaker,Audio,4,35692.14,142768.56,Retail Store
4-Jul-2023,Pune,Smartwatch,Wearables,2,69293.10,138586.20,Retail Store
8-Nov-2024,Jaipur,Smartwatch,Wearables,2,23827.77,47655.54,Online
14-Dec-2022,Pune,Smartphone,Mobiles,6,84279.36,505676.16,Retail Store
5-Mar-2022,Hyderabad,Keyboard,Accessories,2,14956.85,29913.70,Online
14-Feb-2022,Delhi,LED TV,Television,9,7300.09,65700.81,Retail Store
17-May-2024,Pune,Headphones,Audio,1,100084.19,100084.19,Retail Store
10-Feb-2024,Hyderabad,Tablet,Tablets,10,55035.34,550353.40,Online
16-Mar-2023,Bengaluru,Smartphone,Mobiles,8,11481.15,91849.20,Online
5-Jan-2022,Pune,Smartwatch,Wearables,9,76670.09,690030.81,Online
5-Jun-2024,Mumbai,Headphones,Audio,6,49792.72,298756.32,Online
29-Nov-2024,Mumbai,Smartwatch,Wearables,2,55112.88,110225.76,Retail Store
