Date,Keyword_City,Keyword_Product,Keyword_Category,Keyword_Channel,Quantity,Unit Price,Total Sales
19-Jul-22,8,7,6,15,7,41121.19,287848.33
12-May-23,4,7,6,15,2,60917.69,121835.38
07-Feb-23,4,5,3,15,10,14767.09,147670.9
10-Apr-24,5,2,2,15,10,96957.41,969574.1
17-Jul-22,3,5,3,10,7,17244.48,120711.36
29-Oct-24,7,3,3,10,9,58780.99,529028.91
09-Feb-23,6,7,6,15,7,29410.12,205870.84
07-Aug-23,2,8,7,10,2,13396.39,26792.78
29-Jun-23,5,1,1,15,7,68664.74,480653.18
18-Jan-24,6,2,2,15,3,88565.92,265697.76
29-Nov-24,4,1,1,10,6,54005.93,324035.58
29-Apr-24,4,7,6,15,6,76580.33,459481.98
25-Jan-22,1,1,1,15,7,85390.3,597732.1
20-Aug-23,2,6,5,15,4,44232.93,176931.72
08-Aug-23,5,7,6,10,10,79963.25,799632.5
18-Nov-24,7,8,7,10,8,57446.33,459570.64
03-Dec-22,8,2,2,10,7,90306.15,632143.05
13-Aug-22,2,5,3,15,7,50215.19,351506.33
28-May-23,2,3,3,15,8,32394.67,259157.36
28-Dec-23,1,8,7,15,3,69603.91,208811.73
03-Sep-24,1,1,1,15,10,10484.02,104840.2
14-Mar-24,7,3,3,10,6,86437.13,518622.78
26-Jan-24,5,4,4,15,9,72787.47,655087.23
01-Feb-22,3,6,5,10,9,71780.71,646026.39
19-Jan-23,4,2,2,15,10,55550.36,555503.6
28-May-24,7,1,1,10,1,55212.7,55212.7
25-Jun-24,5,5,3,10,7,112212.81,785489.67
11-Aug-23,3,7,6,10,1,10242.43,10242.43
24-Mar-23,2,2,2,10,7,32027.94,224195.58
18-Feb-24,1,2,2,15,4,109702.42,438809.68
21-Jul-23,8,5,3,10,5,102652.55,513262.75
31-May-23,7,4,4,15,4,16520.98,66083.92
12-Jul-22,2,3,3,10,10,6847.61,68476.1
25-Aug-24,6,5,3,15,5,17015.71,85078.55
04-Nov-24,3,3,3,15,7,78673.97,550717.79
26-Jul-24,4,2,2,10,6,32608.58,195651.48
24-May-23,5,4,4,15,9,66953.23,602579.07
13-May-22,3,2,2,10,10,13239.69,132396.9
11-Nov-24,2,6,5,10,9,23604.25,212438.25
22-Aug-24,5,5,3,15,1,84820.56,84820.56
14-Feb-23,3,3,3,15,8,5881.23,47049.84
08-Sep-23,1,4,4,15,6,41218.47,247310.82
19-Apr-23,5,5,3,15,9,85113.17,766018.53
27-Jan-23,3,3,3,10,4,51490.86,205963.44
22-Feb-22,8,8,7,15,8,97890.54,783124.32
25-Apr-22,4,2,2,10,9,107909.51,971185.59
18-Oct-22,3,2,2,10,7,105816.09,740712.63
16-Aug-23,2,3,3,10,9,9358.71,84228.39
19-Sep-22,7,7,6,15,3,28957.83,86873.49
13-Sep-23,2,5,3,15,6,54106.58,324639.48
19-Dec-23,8,2,2,10,7,73462.89,514240.23
28-Jan-22,5,1,1,10,9,89834.89,808514.01
08-May-24,6,5,3,10,8,54404.76,435238.08
05-Feb-24,3,7,6,10,6,51186.72,307120.32
26-Mar-24,5,3,3,15,2,111776.42,223552.84
28-Mar-24,4,7,6,15,6,112969.87,677819.22
01-May-23,2,4,4,15,10,45906.53,459065.3
29-Nov-23,5,2,2,10,3,68980.21,206940.63
30-Sep-24,4,6,5,15,9,58186.83,523681.47
28-Jun-24,4,1,1,15,8,84227.57,673820.56
12-Dec-24,2,3,3,10,3,83678.42,251035.26
27-Jan-23,6,1,1,10,4,32524.58,130098.32
20-Feb-23,4,6,5,10,1,90400.15,90400.15
03-Mar-22,1,3,3,15,3,78547.46,235642.38
09-Jan-24,3,1,1,15,2,108880.69,217761.38
19-Feb-22,3,3,3,10,4,68555.5,274222
28-Mar-22,7,2,2,10,3,22347.87,67043.61
26-Oct-24,1,6,5,10,4,37668.87,150675.48
10-May-24,7,5,3,15,10,60466.05,604660.5
04-Apr-23,5,3,3,10,10,43085.86,430858.6
29-Feb-24,6,1,1,10,6,97666.15,585996.9
25-Dec-23,4,1,1,10,9,113860.02,1024740.18
01-Feb-22,8,7,6,15,1,108317.55,108317.55
07-Jan-22,1,3,3,10,8,64141.28,513130.24
14-Jun-22,4,1,1,15,1,118914.52,118914.52
27-Oct-22,7,6,5,10,1,104422.18,104422.18
09-Aug-22,8,1,1,15,3,74498.69,223496.07
17-Apr-22,2,1,1,10,1,57955.37,57955.37
23-Oct-23,8,2,2,15,4,75425.67,301702.68
11-Nov-23,7,6,5,10,3,27254.59,81763.77
03-Sep-23,1,3,3,10,2,42303.93,84607.86
31-Jan-23,4,2,2,10,1,113800.29,113800.29
11-Dec-23,4,7,6,15,3,62265.35,186796.05
20-Mar-23,1,3,3,10,2,116938.46,233876.92
04-Oct-24,2,7,6,10,2,100668.99,201337.98
08-May-22,5,7,6,10,9,56462.2,508159.8
13-Feb-23,8,5,3,15,2,10704,21408
20-Oct-22,2,2,2,15,10,27276.49,272764.9
19-Oct-24,2,3,3,15,5,53715.96,268579.8
01-Jan-24,4,7,6,15,9,26478.09,238302.81
05-Jan-24,7,8,7,10,7,49643.91,347507.37
01-Jan-23,1,4,4,10,9,21488.38,193395.42
25-Jul-24,8,1,1,15,6,119411.83,716470.98
20-Aug-24,5,7,6,10,9,52065.12,468586.08
19-Dec-23,2,8,7,15,1,16430.42,16430.42
14-Feb-24,4,1,1,15,8,20941.04,167528.32
18-Nov-22,7,4,4,15,6,14270.57,85623.42
08-Sep-24,4,7,6,10,2,84360.83,168721.66
13-Dec-24,7,6,5,10,8,43483.89,347871.12
02-Jul-22,3,8,7,10,2,81341.88,162683.76
24-Apr-23,4,1,1,10,7,11423.39,79963.73
23-Jun-23,8,6,5,15,10,93933.22,939332.2
09-May-23,5,1,1,10,7,13338.69,93370.83
01-Jan-24,2,2,2,10,3,68331.32,204993.96
04-Dec-23,2,6,5,10,8,49481.36,395850.88
25-Oct-22,7,2,2,10,2,67107.37,134214.74
22-Apr-22,3,8,7,10,6,86538.55,519231.3
06-Oct-24,1,5,3,10,1,96539.76,96539.76
17-May-22,3,5,3,10,1,115678.39,115678.39
13-May-22,5,2,2,10,7,100907.53,706352.71
16-Oct-24,4,1,1,10,2,57481.21,114962.42
31-Jan-23,3,2,2,10,7,117226.94,820588.58
26-Oct-22,2,7,6,10,6,31519.34,189116.04
18-Jan-24,6,4,4,10,10,67329.71,673297.1
25-Jul-22,1,3,3,15,6,47571.54,285429.24
05-Jul-22,8,2,2,15,7,92352.13,646464.91
18-Feb-23,2,2,2,15,8,85185.12,681480.96
04-Dec-23,2,3,3,15,6,15319.33,91915.98
04-Aug-23,4,1,1,15,6,106715.06,640290.36
23-Sep-24,8,8,7,15,10,56590.23,565902.3
09-Oct-22,4,3,3,15,8,74294.11,594352.88
17-Apr-24,1,8,7,10,7,36250.32,253752.24
28-Nov-23,8,4,4,10,2,23418.18,46836.36
22-Jan-22,7,8,7,15,2,89814.28,179628.56
11-Dec-22,7,6,5,15,1,97025.56,97025.56
07-Oct-22,8,3,3,15,10,12126.28,121262.8
08-May-23,8,3,3,15,2,107237.92,214475.84
06-Jun-23,3,7,6,15,3,84931.64,254794.92
07-Mar-24,1,4,4,10,7,115667.85,809674.95
03-Jan-23,5,8,7,15,2,85747.24,171494.48
31-Aug-22,4,6,5,10,3,66036.5,198109.5
14-Jan-22,6,5,3,15,5,75576.71,377883.55
21-Feb-23,3,2,2,15,5,101938.59,509692.95
01-Feb-24,4,8,7,15,8,50764.07,406112.56
30-May-23,2,5,3,15,10,55997.6,559976
13-Jun-22,6,7,6,10,6,12130.2,72781.2
22-Apr-23,5,7,6,15,7,115057.21,805400.47
15-Aug-23,1,1,1,10,7,24695.79,172870.53
17-May-24,8,2,2,15,5,29204.01,146020.05
02-Apr-22,8,6,5,15,9,65868.89,592820.01
08-May-22,8,1,1,10,7,54644.74,382513.18
19-Dec-23,1,6,5,10,4,71713.09,286852.36
17-Dec-23,5,5,3,15,6,100206.35,601238.1
15-Aug-23,1,6,5,15,2,40042.04,80084.08
05-Nov-23,4,2,2,15,10,21875.11,218751.1
07-Jun-24,5,4,4,15,5,82326.52,411632.6
29-Dec-23,8,2,2,10,5,68545.3,342726.5
24-Nov-23,6,7,6,15,8,67435.89,539487.12
24-Jul-24,8,7,6,15,10,44481.98,444819.8
07-Dec-22,4,2,2,15,7,16351.12,114457.84
25-Sep-23,4,4,4,10,10,87645.88,876458.8
19-Jun-22,1,8,7,15,1,56129.19,56129.19
23-Oct-23,8,4,4,15,2,23415.16,46830.32
19-Sep-23,2,5,3,15,10,44230.01,442300.1
05-May-24,7,5,3,10,3,30593.74,91781.22
19-Jun-22,4,2,2,15,6,78044.43,468266.58
22-Sep-23,1,6,5,15,9,40436.61,363929.49
10-Feb-23,3,5,3,15,9,12686.92,114182.28
08-Oct-23,8,1,1,10,2,107282.41,214564.82
14-Nov-24,3,3,3,10,9,54153.76,487383.84
17-Mar-24,6,3,3,10,4,88455.06,353820.24
25-Apr-24,2,5,3,10,7,111927.15,783490.05
24-Jan-23,4,8,7,15,5,101782.19,508910.95
21-Jul-24,8,1,1,10,1,84519.55,84519.55
11-Oct-22,5,1,1,10,6,28852.51,173115.06
19-Sep-24,1,2,2,15,2,111696.25,223392.5
30-May-22,2,2,2,10,10,7081.01,70810.1
23-Jun-24,6,2,2,10,6,97828.03,586968.18
17-Apr-24,3,1,1,15,8,11583.41,92667.28
08-Apr-24,3,6,5,15,3,43315.68,129947.04
19-Dec-23,2,7,6,15,8,40158.86,321270.88
28-Jul-24,5,3,3,15,6,49386.36,296318.16
21-Dec-24,5,2,2,15,7,31972.56,223807.92
23-Jun-24,4,1,1,10,10,5221.58,52215.8
21-Aug-22,8,8,7,10,10,111049.74,1110497.4
21-Sep-24,3,6,5,10,8,12388.9,99111.2
01-Dec-24,2,7,6,10,4,8376.93,33507.72
15-Jun-24,5,6,5,10,8,98970.92,791767.36
03-Aug-23,3,5,3,10,2,99251.44,198502.88
06-Apr-24,7,8,7,10,9,12843.63,115592.67
30-Jun-24,1,1,1,15,10,15410.68,154106.8
25-Aug-24,2,5,3,10,9,8269.83,74428.47
28-May-22,2,3,3,15,7,65310.68,457174.76
29-Mar-23,3,8,7,15,7,91685.21,641796.47
27-Feb-24,7,2,2,10,6,88125.68,528754.08
26-Feb-22,5,3,3,15,7,39453.72,276176.04
30-Dec-24,2,4,4,10,10,53544.45,535444.5
30-May-22,8,7,6,15,4,40485.21,161940.84
18-Jun-23,8,8,7,10,3,26442.98,79328.94
16-Jan-23,5,2,2,10,1,74322.92,74322.92
08-Feb-24,3,4,4,10,1,104682.97,104682.97
16-Jun-23,4,4,4,15,9,58830.16,529471.44
20-Aug-22,1,7,6,15,4,32458.38,129833.52
26-Apr-23,3,2,2,10,8,23204.92,185639.36
12-Feb-23,1,8,7,15,8,86213.45,689707.6
13-Oct-24,1,1,1,10,2,52690.03,105380.06
04-Jun-23,1,6,5,15,6,101273.36,607640.16
10-Jun-23,8,6,5,15,6,74367.93,446207.58
04-Jun-23,3,8,7,15,1,59788.7,59788.7
09-Feb-23,8,7,6,10,9,105530.37,949773.33
09-May-23,4,5,3,15,3,110747.97,332243.91
04-Apr-22,5,1,1,15,8,90442.12,723536.96
24-Sep-24,2,8,7,10,2,107623.8,215247.6
16-Jul-22,7,4,4,10,4,111533.96,446135.84
23-Mar-22,1,8,7,15,1,88054.69,88054.69
08-Jun-24,7,5,3,10,5,48393.19,241965.95
07-Jul-23,1,6,5,15,5,71989.35,359946.75
03-Sep-24,3,7,6,15,8,31928.41,255427.28
04-Mar-23,5,5,3,15,7,5909.78,41368.46
15-Dec-22,3,4,4,10,10,95744.31,957443.1
29-Nov-23,3,7,6,15,1,33777.83,33777.83
02-Jul-24,4,6,5,15,4,68009.24,272036.96
16-Jan-24,6,4,4,10,10,113557.66,1135576.6
06-Jun-24,7,1,1,10,5,41929.09,209645.45
04-Feb-22,1,1,1,10,2,34637.6,69275.2
21-Aug-22,4,3,3,15,3,91290.9,273872.7
02-Jan-23,8,6,5,15,10,80092.06,800920.6
27-Aug-24,1,5,3,10,3,93901.44,281704.32
28-Dec-22,3,3,3,15,6,80486.5,482919
07-Sep-24,1,2,2,15,7,17070.3,119492.1
25-Jan-22,7,6,5,15,6,15389.47,92336.82
27-Apr-24,3,7,6,15,2,110898.08,221796.16
06-Jun-23,6,2,2,10,3,87943.13,263829.39
17-Sep-24,4,3,3,15,7,102444.83,717113.81
14-Aug-24,5,2,2,15,3,93635.25,280905.75
12-May-24,5,1,1,15,2,81074.13,162148.26
08-May-22,8,2,2,15,10,8075.65,80756.5
25-Apr-24,1,5,3,10,1,24236.33,24236.33
12-Dec-22,7,6,5,15,1,108053.05,108053.05
24-Mar-22,4,1,1,15,1,14869.82,14869.82
14-Mar-23,5,2,2,10,7,63090.95,441636.65
15-Jan-22,2,6,5,15,3,33192.41,99577.23
10-Mar-22,3,4,4,10,3,112820.48,338461.44
01-Sep-23,7,8,7,10,4,34723.94,138895.76
18-Oct-22,1,3,3,10,7,65579.95,459059.65
02-Sep-23,1,1,1,15,1,7991.03,7991.03
09-Apr-24,7,4,4,10,6,100314.33,601885.98
18-Nov-24,3,6,5,15,6,86838.47,521030.82
29-Dec-23,8,4,4,10,5,85916.22,429581.1
30-Jun-23,8,2,2,15,4,60952.9,243811.6
19-Oct-23,5,2,2,10,9,44537.42,400836.78
15-Jan-23,7,6,5,15,10,35755.57,357555.7
05-Nov-22,6,1,1,15,5,119266.88,596334.4
24-Oct-24,6,8,7,10,5,10270.48,51352.4
07-Dec-24,4,4,4,15,4,81348.71,325394.84
06-Jan-22,7,8,7,10,6,25832.89,154997.34
01-Nov-23,7,4,4,10,4,68897.05,275588.2
31-Dec-23,1,3,3,10,1,15980.38,15980.38
12-Apr-23,5,8,7,10,5,34185.95,170929.75
23-Nov-24,3,5,3,10,2,92795.07,185590.14
03-Mar-23,6,5,3,15,10,48056.37,480563.7
22-Dec-22,4,1,1,15,3,12446.02,37338.06
02-May-23,4,1,1,15,5,51855.69,259278.45
02-Mar-23,7,6,5,15,9,21653.69,194883.21
20-May-22,1,3,3,15,1,41598.97,41598.97
21-Sep-23,4,4,4,15,7,66226.68,463586.76
05-Jun-22,7,5,3,10,10,106941.94,1069419.4
12-Aug-23,6,1,1,10,6,62604.26,375625.56
31-Jan-22,3,5,3,10,2,102160.11,204320.22
27-Jul-23,4,7,6,10,7,69619.32,487335.24
08-Feb-24,8,7,6,10,4,20709.56,82838.24
08-Sep-23,7,7,6,10,9,57498.33,517484.97
06-Dec-24,2,4,4,10,3,11675.99,35027.97
11-Jun-24,7,4,4,15,6,97755.93,586535.58
08-May-22,6,2,2,15,4,51544.8,206179.2
05-Aug-23,6,5,3,10,4,35692.14,142768.56
04-Jul-23,6,4,4,10,2,69293.1,138586.2
08-Nov-24,8,4,4,15,2,23827.77,47655.54
14-Dec-22,6,2,2,10,6,84279.36,505676.16
05-Mar-22,1,8,7,15,2,14956.85,29913.7
14-Feb-22,5,1,1,10,9,7300.09,65700.81
17-May-24,6,3,3,10,1,100084.19,100084.19
10-Feb-24,1,7,6,15,10,55035.34,550353.4
16-Mar-23,3,2,2,15,8,11481.15,91849.2
05-Jan-22,6,4,4,15,9,76670.09,690030.81
05-Jun-24,4,3,3,15,6,49792.72,298756.32
29-Nov-24,4,4,4,10,2,55112.88,110225.76
20-Oct-24,8,3,3,15,3,78316.56,234949.68
27-Dec-24,3,5,3,10,5,106591.33,532956.65
21-May-24,8,3,3,10,1,56193.36,56193.36
16-Oct-24,4,8,7,15,5,33740.46,168702.3
27-Jun-22,4,6,5,10,8,115419.25,923354
18-Aug-24,4,5,3,15,9,64111.39,577002.51
16-Feb-23,7,6,5,10,6,7240.98,43445.88
22-Dec-23,8,1,1,10,5,73059.23,365296.15
01-Feb-22,7,2,2,10,1,108560.95,108560.95
16-Apr-23,8,4,4,15,4,33726.92,134907.68
18-May-23,4,7,6,10,4,11813,47252
03-Nov-22,4,3,3,15,2,78421.33,156842.66
29-Oct-22,4,7,6,10,10,16651.15,166511.5
12-Jul-23,2,7,6,15,2,32198.14,64396.28
21-Apr-22,1,5,3,15,8,18117.56,144940.48
24-Apr-24,4,2,2,10,6,40309.62,241857.72
07-Dec-22,5,6,5,15,6,52660.36,315962.16
24-Sep-23,4,7,6,15,1,35609.55,35609.55
19-Oct-23,4,1,1,15,5,39435.52,197177.6
10-Sep-24,6,4,4,10,4,46626.95,186507.8
27-Jan-22,8,2,2,10,3,38553.6,115660.8
13-Apr-24,7,2,2,10,8,47525.87,380206.96
29-May-22,2,6,5,10,5,118161.67,590808.35
26-Aug-23,3,7,6,15,8,40907.67,327261.36
21-Oct-22,5,2,2,15,5,20357.62,101788.1
07-May-24,6,3,3,15,10,108807.1,1088071
31-Jan-24,6,7,6,10,10,110616.92,1106169.2
27-Jan-24,2,5,3,15,10,38703.05,387030.5
08-Dec-23,8,1,1,10,9,57347.37,516126.33
12-Mar-22,1,4,4,10,2,76463.8,152927.6
15-Aug-22,6,4,4,15,2,78268.53,156537.06
02-May-22,5,2,2,10,2,100394.05,200788.1
16-Oct-24,4,3,3,15,10,108512.43,1085124.3
30-Nov-22,4,8,7,10,5,85145.87,425729.35
17-Aug-22,6,4,4,10,6,24957.55,149745.3
24-Oct-23,5,7,6,15,8,23551.13,188409.04
17-Nov-22,2,1,1,10,6,93775.46,562652.76
20-Aug-23,2,8,7,15,5,34371.34,171856.7
10-Jun-22,7,8,7,10,4,71540.56,286162.24
23-May-22,5,2,2,10,1,81898.88,81898.88
12-Nov-24,7,6,5,10,2,97554.2,195108.4
10-Feb-23,2,6,5,15,3,60830.03,182490.09
23-Dec-24,5,5,3,10,3,49234.72,147704.16
09-Mar-24,5,2,2,10,5,31188.72,155943.6
17-Nov-24,3,8,7,15,2,24374.28,48748.56
13-Feb-23,7,1,1,15,10,42830.85,428308.5
14-Jun-24,3,2,2,10,8,15148.42,121187.36
08-Oct-23,8,5,3,10,7,111084.56,777591.92
19-Jul-23,2,3,3,15,3,36452.61,109357.83
12-Oct-22,1,1,1,15,3,102790.4,308371.2
27-Oct-24,7,3,3,15,8,112469.8,899758.4
29-Aug-24,5,6,5,10,4,21880.21,87520.84
30-Aug-22,2,5,3,15,7,40137.14,280959.98
25-Dec-23,6,2,2,15,4,110406.28,441625.12
30-Jan-22,4,8,7,10,2,13100.08,26200.16
28-Feb-24,3,6,5,10,8,95166.01,761328.08
23-Aug-22,2,4,4,10,6,77588.38,465530.28
17-Aug-23,3,4,4,10,5,53527.69,267638.45
06-Mar-23,8,1,1,10,10,112970.78,1129707.8
29-May-22,5,7,6,15,8,63495.92,507967.36
28-Sep-22,8,1,1,15,6,101012.95,606077.7
25-Feb-23,6,1,1,10,8,96772.48,774179.84
29-Nov-23,2,4,4,10,7,38274.77,267923.39
13-Oct-22,4,1,1,10,5,82485.27,412426.35
31-Dec-22,2,3,3,10,1,68677.8,68677.8
12-Nov-24,4,2,2,15,2,89082.15,178164.3
14-Mar-23,6,7,6,10,1,41291.82,41291.82
02-Nov-24,7,7,6,10,10,41957.95,419579.5
29-May-24,1,1,1,15,7,63211.78,442482.46
19-Feb-23,2,3,3,15,2,21765.27,43530.54
12-Nov-23,8,6,5,15,6,77655.36,465932.16
16-Sep-24,6,1,1,15,7,111389.77,779728.39
21-Jan-22,8,3,3,15,2,47366.87,94733.74
27-Oct-24,2,2,2,15,5,15709.56,78547.8
18-Apr-24,7,4,4,15,1,47322.58,47322.58
19-Sep-23,3,1,1,15,10,59532.26,595322.6
12-Apr-22,4,1,1,10,6,105093.36,630560.16
26-Jan-22,4,2,2,10,2,97983.31,195966.62
03-Sep-22,3,3,3,10,3,59115.8,177347.4
10-Jan-23,7,8,7,10,3,93328.27,279984.81
12-Jul-23,4,6,5,15,4,32486.67,129946.68
16-Jun-22,1,8,7,15,1,92795.07,92795.07
10-Jun-23,1,5,3,15,4,101880.89,407523.56
10-Jul-24,5,2,2,15,1,22085.65,22085.65
20-Aug-22,1,6,5,10,3,112074,336222
27-May-22,6,2,2,15,9,62648.6,563837.4
25-Dec-24,6,5,3,15,6,39113.32,234679.92
04-Jul-23,8,7,6,10,1,10619.84,10619.84
04-Dec-24,4,8,7,10,10,91921.82,919218.2
25-Apr-22,6,8,7,10,5,73531.05,367655.25
31-May-24,3,8,7,10,5,100818.15,504090.75
04-Dec-22,8,1,1,10,7,6244.33,43710.31
17-Jul-23,6,5,3,15,5,101760.33,508801.65
02-Apr-24,3,6,5,15,2,26151.25,52302.5
06-Feb-23,2,8,7,15,10,63135.17,631351.7
26-May-24,1,4,4,10,9,87460.7,787146.3
13-Jun-24,5,2,2,10,6,61874.82,371248.92
19-Dec-24,5,8,7,15,10,89577.99,895779.9
03-Dec-22,2,2,2,15,10,113396.62,1133966.2
21-Apr-23,8,8,7,10,3,96871.61,290614.83
22-Aug-22,3,6,5,15,1,86337.85,86337.85
14-Sep-24,8,8,7,10,6,11007.79,66046.74
28-Mar-23,4,8,7,15,8,45029.54,360236.32
05-Sep-22,1,7,6,10,3,89629.24,268887.72
20-Jan-22,5,1,1,15,6,19281.1,115686.6
14-Jul-22,5,5,3,10,4,19918.63,79674.52
16-Jul-23,3,8,7,10,6,26258.85,157553.1
22-Apr-22,6,8,7,15,7,79058.34,553408.38
29-Mar-24,4,3,3,10,9,104873.48,943861.32
08-Mar-24,3,5,3,15,2,39460.28,78920.56
20-Mar-24,7,2,2,15,3,97533.83,292601.49
06-Feb-23,8,7,6,15,5,9130.85,45654.25
29-Jun-24,2,7,6,15,6,89337.77,536026.62
26-Dec-23,8,1,1,15,4,46766.02,187064.08
04-Aug-22,7,5,3,15,7,117272.27,820905.89
11-May-22,7,1,1,10,8,93309.78,746478.24
15-Dec-22,3,4,4,10,6,34281.29,205687.74
06-Jun-22,2,6,5,10,5,98407.85,492039.25
08-Apr-23,1,6,5,15,5,21237.91,106189.55
31-Oct-23,5,2,2,10,2,98915.16,197830.32
01-Oct-24,8,8,7,10,10,11728.67,117286.7
29-Aug-22,5,2,2,10,2,30472.54,60945.08
28-Jun-24,6,4,4,10,7,72092.91,504650.37
23-Jun-24,2,5,3,10,4,74548.92,298195.68
29-Jun-23,4,4,4,15,1,27304.49,27304.49
30-Nov-24,4,4,4,15,2,116808.8,233617.6
09-Nov-24,7,7,6,15,4,78695.97,314783.88
10-Nov-24,4,5,3,15,5,35252.78,176263.9
05-Apr-24,4,1,1,15,1,65768.29,65768.29
21-May-23,2,4,4,10,6,78945.32,473671.92
20-May-22,4,1,1,10,4,62250.8,249003.2
09-Aug-24,4,2,2,10,2,112438.08,224876.16
11-Sep-24,1,2,2,15,1,73070.84,73070.84
17-Mar-22,1,4,4,10,9,71613.17,644518.53
23-Jul-23,3,2,2,15,7,17637.74,123464.18
22-Sep-22,1,7,6,15,10,93951.44,939514.4
19-Jun-22,3,7,6,15,6,19328.54,115971.24
14-Nov-24,7,5,3,15,5,85702.23,428511.15
21-Dec-24,4,1,1,15,4,83879.99,335519.96
18-Dec-24,4,1,1,10,6,86872.87,521237.22
11-Oct-23,1,8,7,10,4,107924.37,431697.48
28-Aug-23,3,1,1,10,3,55249.58,165748.74
15-Jan-22,3,1,1,10,3,16716.41,50149.23
12-Nov-22,2,5,3,10,9,88065.61,792590.49
12-Jul-24,7,1,1,15,2,92361.27,184722.54
10-Jul-24,7,3,3,15,7,33877.06,237139.42
12-Apr-23,2,5,3,10,9,110387.53,993487.77
05-Aug-24,7,4,4,10,3,62189.95,186569.85
31-Dec-23,2,5,3,15,9,67268.64,605417.76
05-Jun-22,6,2,2,15,5,93197.75,465988.75
22-Jan-23,5,5,3,10,7,12648.46,88539.22
14-Feb-22,2,3,3,15,4,11973.77,47895.08
12-Jun-23,8,1,1,15,1,54037.72,54037.72
17-Jul-24,4,4,4,10,7,18705.01,130935.07
19-Aug-22,4,5,3,10,4,60438.76,241755.04
29-May-24,7,6,5,15,5,36467.55,182337.75
20-Apr-22,1,6,5,15,9,86343.65,777092.85
22-Jan-22,4,8,7,10,9,63147.17,568324.53
02-May-23,1,4,4,15,6,104127.07,624762.42
30-May-23,6,1,1,10,10,61197.53,611975.3
04-Oct-23,8,7,6,15,6,9322.89,55937.34
21-Mar-24,7,6,5,10,5,95718.11,478590.55
27-Jul-22,5,8,7,10,6,36502.91,219017.46
17-Jun-23,7,4,4,15,1,23422.1,23422.1
06-Apr-23,8,7,6,10,8,38364.9,306919.2
03-Mar-24,4,3,3,15,2,99224.09,198448.18
30-Nov-22,7,2,2,10,2,44924.85,89849.7
