customer_id,order_id,order_date,age,gender,income,purchase_amount,product_category
C18640,O01229,05/01/2024,48,Female,27608,764,Grocery
C1155,O01230,03/02/2024,22,Male,27636,1429,Fashion
C4500,O01231,04/06/2024,68,Male,26524,2101,Fashion
C6296,O01232,16/03/2024,62,Female,29995,308,Fashion
C12184,O01233,22/01/2024,53,Female,20590,3452,Fashion
C12875,O01234,31/07/2024,39,Male,21925,868,Fashion
C18033,O01235,16/03/2024,39,Female,22849,4571,Electronics
C5540,O01236,06/05/2024,59,Male,38395,3889,Travel
C9638,O01237,08/10/2024,34,Female,22009,989,Grocery
C15587,O01238,24/01/2024,40,Female,23937,2897,Electronics
C2558,O01239,22/09/2024,55,Male,21657,1657,Home
C5593,O01240,22/12/2024,47,Female,31925,3910,Fashion
C16483,O01241,25/02/2024,52,Female,21524,177,Grocery
C2201,O01242,02/09/2024,62,Female,22242,2999,Electronics
C14173,O01243,30/11/2024,37,Female,48126,515,Beauty
C2962,O01244,17/05/2024,59,Female,30171,2406,Beauty
C14208,O01245,14/03/2024,42,Male,30889,2006,Fashion
C11970,O01246,10/11/2024,39,Female,26248,2788,Travel
C2870,O01247,13/11/2024,21,Male,31448,3791,Electronics
C17341,O01248,06/02/2024,49,Male,37110,3538,Travel
C13993,O01249,29/07/2024,37,Male,18572,935,Home
C5700,O01250,22/09/2024,27,Female,32807,279,Grocery
C3988,O01251,02/12/2024,57,Male,17643,5470,Electronics
C13447,O01252,23/03/2024,29,Male,28524,5660,Home
C1219,O01253,07/09/2024,42,Male,30113,5448,Electronics
C4736,O01254,16/11/2024,68,Male,24315,6127,Electronics
C11297,O01255,14/12/2024,36,Female,35621,405,Beauty
C4556,O01256,30/11/2024,48,Female,24617,1603,Fashion
C9147,O01257,19/12/2024,30,Female,28358,2032,Beauty
C8051,O01258,17/01/2024,64,Male,24269,2423,Home
C12758,O01259,20/12/2024,59,Female,33669,3865,Fashion
C19831,O01260,30/03/2024,27,Male,21608,3887,Electronics
C17430,O01261,01/12/2024,30,Female,23386,2473,Fashion
C6894,O01262,11/05/2024,39,Female,22420,3014,Home
C18078,O01263,26/07/2024,39,Male,18140,435,Beauty
C14374,O01264,20/04/2024,29,Male,23457,3264,Fashion
C14566,O01265,15/03/2024,59,Female,36741,2838,Fashion
C3437,O01266,29/03/2024,44,Female,20642,8703,Travel
C8755,O01267,22/07/2024,43,Female,27290,1793,Fashion
C10678,O01268,12/03/2024,40,Female,31396,4087,Home
C5896,O01269,08/11/2024,40,Male,28582,1192,Grocery
C19739,O01270,10/07/2024,44,Male,22798,1443,Fashion
C16610,O01271,24/09/2024,19,Female,24501,572,Grocery
C15637,O01272,15/02/2024,68,Male,34393,4207,Electronics
C7023,O01273,02/08/2024,30,Female,25399,497,Grocery
C9152,O01274,24/09/2024,37,Male,35977,5279,Home
C5601,O01275,27/12/2024,19,Male,21246,8793,Travel
C7997,O01276,30/08/2024,69,Male,35521,4380,Home
C9008,O01277,04/06/2024,39,Female,27986,3407,Fashion
C12947,O01278,17/05/2024,66,Male,24627,3461,Fashion
C4643,O01279,09/10/2024,63,Female,25028,4324,Electronics
C11313,O01280,18/03/2024,30,Male,21107,3396,Electronics
C7680,O01281,04/07/2024,20,Female,26767,633,Grocery
C8209,O01282,21/05/2024,51,Male,28356,1659,Grocery
C18590,O01283,11/10/2024,64,Male,22252,1174,Beauty
C10717,O01284,06/01/2024,19,Female,24685,908,Grocery
C17454,O01285,30/01/2024,55,Female,24313,5285,Electronics
C3445,O01286,01/10/2024,68,Female,27403,3523,Home
C10758,O01287,08/05/2024,41,Male,24751,2682,Fashion
C14435,O01288,03/07/2024,25,Male,25726,3643,Fashion
C1061,O01289,09/11/2024,19,Female,20142,2777,Fashion
C18712,O01290,06/03/2024,42,Male,25345,6375,Electronics
C3421,O01291,13/11/2024,56,Female,17235,1150,Grocery
C302,O01292,18/02/2024,40,Female,22294,488,Fashion
C12469,O01293,19/09/2024,43,Female,37791,3037,Home
C16991,O01294,11/03/2024,55,Male,48560,1747,Home
C19555,O01295,27/10/2024,37,Female,48393,904,Fashion
C700,O01296,19/08/2024,57,Male,19607,1480,Beauty
C191,O01297,06/04/2024,23,Male,31655,2359,Beauty
C10493,O01298,11/05/2024,49,Male,23008,3657,Fashion
C17365,O01299,21/12/2024,65,Male,32774,1802,Travel
C2976,O01300,30/09/2024,49,Male,24427,4773,Home
C6103,O01301,15/06/2024,54,Male,28931,4040,Electronics
C17569,O01302,09/10/2024,54,Male,31765,1599,Home
C19712,O01303,10/07/2024,34,Male,21933,5698,Electronics
C19779,O01304,15/12/2024,61,Female,17188,5236,Home
C1817,O01305,11/01/2024,37,Female,27095,1002,Fashion
C570,O01306,31/05/2024,55,Male,27501,4516,Electronics
C5443,O01307,19/01/2024,68,Male,26571,1863,Home
C1896,O01308,11/07/2024,41,Female,30516,1525,Fashion
C19118,O01309,07/07/2024,28,Male,41496,3866,Electronics
C3864,O01310,31/05/2024,37,Male,33147,6845,Electronics
C12914,O01311,19/01/2024,38,Female,29050,6395,Electronics
C7456,O01312,14/10/2024,61,Male,25697,975,Beauty
C4015,O01313,05/11/2024,20,Female,26893,9252,Travel
C11094,O01314,27/05/2024,41,Male,29533,2433,Electronics
C18071,O01315,11/11/2024,21,Male,23631,4811,Home
C3010,O01316,06/02/2024,55,Female,19341,3427,Home
C16539,O01317,12/12/2024,64,Male,31560,4166,Home
C10730,O01318,04/04/2024,23,Male,19817,5381,Home
C1410,O01319,13/09/2024,61,Male,24970,1802,Grocery
C12250,O01320,18/07/2024,32,Male,21677,1799,Grocery
C785,O01321,02/09/2024,40,Male,32374,1953,Beauty
C8097,O01322,31/05/2024,50,Male,32534,1528,Grocery
C7561,O01323,18/06/2024,41,Female,42504,4297,Electronics
C12534,O01324,29/06/2024,19,Male,35889,9680,Travel
C7344,O01325,17/08/2024,63,Male,27991,3677,Home
C7207,O01326,01/08/2024,47,Female,24110,3488,Electronics
C5802,O01327,05/03/2024,63,Male,28542,763,Grocery
C19191,O01328,21/01/2024,60,Male,28933,9859,Travel
C16922,O01329,07/02/2024,56,Female,30509,6223,Electronics
C5987,O01330,27/09/2024,59,Male,22072,3049,Travel
C18226,O01331,17/10/2024,44,Female,27393,439,Fashion
C10648,O01332,11/08/2024,46,Female,30281,6725,Travel
C8717,O01333,27/01/2024,51,Male,35608,4799,Travel
C19335,O01334,11/11/2024,60,Male,22564,2083,Electronics
C12324,O01335,03/04/2024,41,Female,24309,3374,Travel
C4781,O01336,03/05/2024,25,Female,23833,2624,Travel
C2369,O01337,04/01/2024,55,Male,36999,1965,Beauty
C12040,O01338,02/05/2024,18,Female,20729,2285,Home
C6656,O01339,28/02/2024,49,Male,25930,4638,Electronics
C8174,O01340,21/04/2024,19,Female,27010,103,Grocery
C4496,O01341,12/01/2024,66,Male,21185,2455,Fashion
C10894,O01342,18/01/2024,21,Female,23421,7476,Travel
C13404,O01343,11/10/2024,28,Female,20216,2331,Home
C13122,O01344,05/03/2024,21,Female,26942,473,Beauty
C10967,O01345,22/02/2024,37,Male,20952,2183,Electronics
C854,O01346,14/02/2024,63,Male,28513,2250,Fashion
C16959,O01347,22/02/2024,69,Male,24506,788,Grocery
C17533,O01348,08/02/2024,57,Female,25926,9851,Travel
C9908,O01349,07/03/2024,29,Male,47158,3989,Electronics
C4778,O01350,13/01/2024,22,Female,22826,1413,Fashion
C15339,O01351,10/03/2024,48,Female,25027,5702,Electronics
C2492,O01352,08/08/2024,44,Male,22191,6724,Electronics
C15329,O01353,22/01/2024,40,Male,24405,2208,Beauty
C14600,O01354,02/06/2024,47,Male,27060,2371,Beauty
C19509,O01355,21/06/2024,40,Male,25111,5506,Electronics
C3052,O01356,13/10/2024,32,Female,34036,1295,Home
C15980,O01357,12/04/2024,24,Female,22971,4552,Home
C16389,O01358,12/10/2024,45,Female,25716,2153,Beauty
C877,O01359,22/12/2024,51,Male,21822,345,Grocery
C4143,O01360,05/10/2024,32,Female,60497,655,Beauty
C15203,O01361,24/09/2024,34,Male,17870,4769,Home
C6967,O01362,07/02/2024,45,Female,43279,2195,Home
C7080,O01363,03/01/2024,45,Female,44680,6912,Electronics
C7988,O01364,24/08/2024,55,Male,22513,1665,Beauty
C6800,O01365,23/12/2024,20,Male,24677,2097,Beauty
C4466,O01366,03/02/2024,45,Female,19990,464,Beauty
C17020,O01367,19/12/2024,68,Male,31361,5048,Electronics
C13418,O01368,30/06/2024,40,Female,39149,5551,Electronics
C18078,O01369,07/12/2024,70,Male,35585,3162,Fashion
C8312,O01370,30/09/2024,70,Female,52118,4057,Travel
C17215,O01371,17/11/2024,69,Female,28668,1700,Grocery
C14099,O01372,10/10/2024,21,Male,34698,5139,Electronics
C5178,O01373,24/05/2024,68,Male,31260,2965,Fashion
C14263,O01374,29/06/2024,67,Female,19380,8817,Travel
C8309,O01375,16/06/2024,20,Male,47862,4097,Home
C5950,O01376,21/12/2024,47,Male,15748,1799,Beauty
C19223,O01377,15/09/2024,29,Male,47215,2761,Fashion
C1151,O01378,14/06/2024,50,Female,24964,7952,Travel
C1932,O01379,02/01/2024,41,Female,25127,3403,Fashion
C9205,O01380,04/01/2024,63,Male,18721,893,Fashion
C18049,O01381,12/06/2024,45,Male,38300,314,Fashion
C1082,O01382,14/06/2024,23,Male,24809,2208,Beauty
C16897,O01383,13/04/2024,58,Male,34441,2395,Fashion
C13408,O01384,14/08/2024,48,Male,42841,1677,Grocery
C7806,O01385,26/04/2024,33,Male,33415,1020,Beauty
C5238,O01386,20/03/2024,30,Male,33951,7441,Travel
C16944,O01387,28/09/2024,57,Male,33858,2064,Fashion
C12776,O01388,15/04/2024,59,Male,33074,1880,Beauty
C16245,O01389,05/02/2024,32,Male,22331,383,Grocery
C13185,O01390,25/05/2024,38,Female,36802,1157,Home
C3344,O01391,03/01/2024,21,Male,19014,1834,Beauty
C13501,O01392,27/02/2024,51,Female,29438,5120,Home
C9663,O01393,07/01/2024,57,Female,27787,4114,Home
C16965,O01394,06/10/2024,24,Female,26245,2660,Electronics
C15126,O01395,29/01/2024,48,Female,28954,425,Fashion
C8131,O01396,28/12/2024,60,Female,25207,827,Beauty
C19532,O01397,20/08/2024,25,Male,24506,5043,Electronics
C1680,O01398,13/10/2024,18,Female,34497,4206,Electronics
C3507,O01399,18/07/2024,27,Female,30144,1779,Home
C13285,O01400,06/03/2024,44,Male,18503,2646,Electronics
C7254,O01401,04/12/2024,28,Female,22458,3151,Travel
C19129,O01402,16/05/2024,48,Male,33651,1229,Grocery
C9436,O01403,07/08/2024,49,Male,32787,853,Home
C11311,O01404,15/09/2024,48,Female,25241,6994,Electronics
C13297,O01405,11/01/2024,62,Male,30796,1432,Home
C18526,O01406,11/11/2024,61,Male,33065,3214,Home
C13246,O01407,23/03/2024,58,Female,38679,799,Beauty
C11152,O01408,18/05/2024,67,Female,30531,2218,Fashion
C10458,O01409,27/12/2024,46,Female,32871,2388,Fashion
C2480,O01410,17/10/2024,46,Female,31237,5090,Electronics
C4453,O01411,17/07/2024,34,Male,20974,1552,Beauty
C5882,O01412,19/07/2024,42,Male,27675,2160,Electronics
C14070,O01413,06/10/2024,43,Female,22266,6601,Electronics
C2850,O01414,30/12/2024,62,Female,34298,2923,Fashion
C7391,O01415,06/09/2024,43,Male,33130,1055,Electronics
C11923,O01416,12/07/2024,62,Female,33011,732,Fashion
C2490,O01417,11/09/2024,45,Female,30409,2254,Beauty
C9824,O01418,06/02/2024,20,Male,35191,3624,Fashion
C9208,O01419,28/06/2024,70,Male,23141,640,Beauty
C9541,O01420,19/11/2024,28,Male,24899,2680,Home
C16365,O01421,09/04/2024,55,Female,20815,2967,Electronics
C4612,O01422,23/02/2024,70,Female,26896,3567,Electronics
C19224,O01423,29/04/2024,68,Female,38410,9229,Travel
C5879,O01424,14/04/2024,61,Female,28590,1996,Fashion
C16348,O01425,07/09/2024,57,Male,24190,3587,Electronics
C852,O01426,03/06/2024,18,Female,37955,510,Beauty
C18072,O01427,21/12/2024,39,Male,21327,9581,Travel
C6834,O01428,18/09/2024,64,Female,29993,854,Beauty
C11939,O01429,28/04/2024,31,Female,35208,1271,Fashion
C2428,O01430,15/08/2024,50,Male,35225,2894,Fashion
C4001,O01431,21/11/2024,66,Male,32802,222,Beauty
C5053,O01432,30/03/2024,45,Male,58753,4732,Home
C2739,O01433,27/12/2024,19,Male,23400,4494,Electronics
C5388,O01434,21/07/2024,41,Female,48639,1579,Electronics
C8003,O01435,24/01/2024,55,Male,30944,317,Fashion
C5537,O01436,12/11/2024,66,Female,21926,3604,Electronics
C13480,O01437,14/12/2024,37,Female,25840,687,Beauty
C3914,O01438,29/04/2024,41,Male,25210,5653,Home
C17451,O01439,29/10/2024,63,Male,56623,3435,Fashion
C10637,O01440,04/06/2024,18,Male,22777,1399,Fashion
C5727,O01441,03/05/2024,52,Female,17056,2744,Electronics
C3374,O01442,26/09/2024,67,Male,27030,4152,Electronics
C12162,O01443,04/09/2024,18,Male,32929,3280,Home
C2083,O01444,11/12/2024,20,Female,23464,4167,Home
C16282,O01445,22/09/2024,27,Female,25660,5110,Home
C15306,O01446,09/03/2024,19,Female,21313,1468,Beauty
C9818,O01447,15/04/2024,24,Female,22223,897,Beauty
C11262,O01448,14/05/2024,36,Male,50641,6703,Electronics
C418,O01449,05/04/2024,26,Female,44039,2771,Home
C8809,O01450,18/08/2024,31,Male,25997,4592,Home
C3268,O01451,29/03/2024,30,Male,37672,3824,Home
C17210,O01452,10/10/2024,69,Male,17716,3608,Home
C5746,O01453,25/03/2024,38,Male,23879,3480,Electronics
C11339,O01454,12/10/2024,43,Female,18155,1484,Home
C413,O01455,26/06/2024,27,Male,24913,2761,Home
C7544,O01456,11/06/2024,35,Male,26895,1166,Electronics
C7588,O01457,18/04/2024,23,Male,25216,1666,Beauty
C729,O01458,12/02/2024,31,Male,25477,586,Fashion
C11658,O01459,29/05/2024,35,Female,23481,2377,Beauty
C5989,O01460,24/10/2024,68,Female,35345,7541,Travel
