OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost,Unit Price
SO - 000117,In-Store,WARE-PUJ1005,10/04/2018,01/06/2018,19/06/2018,27/06/2018,USD,9,10,321,6,2.97,0.07,904.84,1239.5
SO - 000118,In-Store,WARE-XYS1001,10/04/2018,01/06/2018,06/06/2018,14/06/2018,USD,8,30,20,3,3.99,0.1,393.96,984.9
SO - 000119,In-Store,WARE-MKL1006,10/04/2018,01/06/2018,07/06/2018,15/06/2018,USD,5,5,349,20,4.01,0.1,4130.01,5581.1
SO - 000120,Online,WARE-NMK1003,31/12/2017,01/06/2018,11/06/2018,17/06/2018,USD,14,23,133,24,3.99,0.05,1795.33,3095.4
SO - 000121,Wholesale,WARE-NMK1003,10/04/2018,01/06/2018,18/06/2018,20/06/2018,USD,25,46,192,33,4.01,0.4,1754.06,2278
SO - 000122,In-Store,WARE-PUJ1005,10/04/2018,02/06/2018,10/06/2018,16/06/2018,USD,2,14,282,1,7.01,0.07,654.46,991.6
SO - 000123,In-Store,WARE-XYS1001,10/04/2018,02/06/2018,26/06/2018,28/06/2018,USD,7,40,20,35,2.02,0.2,3064.45,3979.8
SO - 000124,Distributor,WARE-UHY1004,31/12/2017,02/06/2018,22/06/2018,02/07/2018,USD,24,19,218,15,2.99,0.4,866.71,1969.8
SO - 000125,In-Store,WARE-NMK1003,10/04/2018,02/06/2018,16/06/2018,24/06/2018,USD,4,15,173,13,1.03,0.15,131.32,268
SO - 000126,Online,WARE-NMK1003,31/12/2017,02/06/2018,21/06/2018,01/07/2018,USD,18,46,111,24,6.99,0.1,95.81,174.2
SO - 000127,In-Store,WARE-UHY1004,31/12/2017,02/06/2018,26/06/2018,06/07/2018,USD,7,32,229,46,3.01,0.07,2510.09,2988.2
SO - 000128,In-Store,WARE-UHY1004,31/12/2017,02/06/2018,20/06/2018,29/06/2018,USD,9,32,238,36,4,0.05,2679.93,3999.9
SO - 000129,Distributor,WARE-NMK1003,10/04/2018,02/06/2018,21/06/2018,22/06/2018,USD,20,22,96,37,2.96,0.05,2450.32,5976.4
SO - 000130,In-Store,WARE-NMK1003,10/04/2018,02/06/2018,27/06/2018,29/06/2018,USD,8,5,102,32,5.04,0.1,2378.9,2901.1
SO - 000131,In-Store,WARE-PUJ1005,10/04/2018,03/06/2018,26/06/2018,05/07/2018,USD,8,29,305,23,7.01,0.07,2734.61,6076.9
SO - 000132,Online,WARE-PUJ1005,31/12/2017,03/06/2018,05/06/2018,10/06/2018,USD,13,35,301,14,7,0.2,4186.7,5735.2
SO - 000133,Online,WARE-UHY1004,31/12/2017,03/06/2018,30/06/2018,10/07/2018,USD,19,46,217,7,2.98,0.1,2077.34,3919.5
SO - 000134,Online,WARE-MKL1006,31/12/2017,03/06/2018,30/06/2018,05/07/2018,USD,17,42,363,46,1,0.05,3832.67,6083.6
SO - 000135,Wholesale,WARE-MKL1006,10/04/2018,03/06/2018,14/06/2018,15/06/2018,USD,26,2,335,40,4.99,0.07,1642.3,2566.1
SO - 000136,Distributor,WARE-NBV1002,31/12/2017,03/06/2018,07/06/2018,13/06/2018,USD,22,28,85,38,1.99,0.08,1093.44,2278
SO - 000137,In-Store,WARE-UHY1004,31/12/2017,03/06/2018,14/06/2018,21/06/2018,USD,7,46,256,1,0.99,0.08,120.2,261.3
SO - 000138,Online,WARE-MKL1006,31/12/2017,03/06/2018,28/06/2018,08/07/2018,USD,12,22,360,17,7.96,0.05,698.81,998.3
SO - 000139,In-Store,WARE-NMK1003,31/12/2017,03/06/2018,13/06/2018,21/06/2018,USD,4,34,92,40,5.98,0.2,1958.54,3497.4
SO - 000140,In-Store,WARE-NMK1003,31/12/2017,03/06/2018,18/06/2018,28/06/2018,USD,9,26,196,25,4.01,0.05,486.89,1132.3
SO - 000141,In-Store,WARE-XYS1001,31/12/2017,03/06/2018,15/06/2018,17/06/2018,USD,7,26,41,2,7.01,0.05,1587.5,2405.3
SO - 000142,Distributor,WARE-MKL1006,31/12/2017,03/06/2018,24/06/2018,03/07/2018,USD,24,24,368,3,7.98,0.05,3249.97,5701.7
SO - 000143,Distributor,WARE-UHY1004,31/12/2017,04/06/2018,09/06/2018,16/06/2018,USD,25,18,248,34,1.01,0.2,1446.8,2452.2
SO - 000144,In-Store,WARE-XYS1001,31/12/2017,04/06/2018,30/06/2018,04/07/2018,USD,11,21,5,11,3.03,0.05,2012.01,3095.4
SO - 000145,Online,WARE-UHY1004,31/12/2017,04/06/2018,12/06/2018,14/06/2018,USD,15,14,212,8,3.98,0.4,2164.9,3865.9
SO - 000146,Distributor,WARE-XYS1001,31/12/2017,04/06/2018,10/06/2018,15/06/2018,USD,23,3,39,11,7.99,0.1,1382.88,2304.8
SO - 000147,Online,WARE-XYS1001,31/12/2017,04/06/2018,21/06/2018,24/06/2018,USD,17,13,40,35,3.01,0.05,1470.11,3195.9
SO - 000148,Online,WARE-PUJ1005,31/12/2017,04/06/2018,19/06/2018,26/06/2018,USD,18,49,295,33,6.99,0.05,5161.68,6452.1
SO - 000149,Distributor,WARE-NMK1003,31/12/2017,05/06/2018,14/06/2018,17/06/2018,USD,24,4,104,16,2.99,0.3,921.52,2003.3
SO - 000150,Distributor,WARE-XYS1001,10/04/2018,05/06/2018,28/06/2018,07/07/2018,USD,23,20,18,8,8.02,0.05,1455.24,3638.1
SO - 000151,In-Store,WARE-NMK1003,10/04/2018,05/06/2018,14/06/2018,17/06/2018,USD,4,19,109,44,3.01,0.07,1822.4,2278
SO - 000152,Online,WARE-NMK1003,10/04/2018,05/06/2018,25/06/2018,29/06/2018,USD,16,25,143,22,5.98,0.3,582.5,924.6
SO - 000153,Online,WARE-NMK1003,10/04/2018,05/06/2018,21/06/2018,01/07/2018,USD,19,8,112,16,4.99,0.05,3062.44,3926.2
SO - 000154,Distributor,WARE-MKL1006,31/12/2017,05/06/2018,12/06/2018,18/06/2018,USD,23,24,348,25,4,0.07,2257.16,3825.7
SO - 000155,Wholesale,WARE-MKL1006,31/12/2017,05/06/2018,03/07/2018,08/07/2018,USD,27,13,360,4,2.99,0.05,1377.32,2257.9
SO - 000156,Distributor,WARE-NMK1003,31/12/2017,06/06/2018,02/07/2018,08/07/2018,USD,24,32,148,33,7.97,0.07,756.3,1112.2
SO - 000157,Online,WARE-NMK1003,31/12/2017,06/06/2018,22/06/2018,23/06/2018,USD,19,28,102,45,8,0.05,1814.43,3557.7
SO - 000158,Online,WARE-NBV1002,31/12/2017,06/06/2018,09/06/2018,12/06/2018,USD,13,8,59,45,3.02,0.4,1233.34,2371.8
SO - 000159,Online,WARE-NBV1002,31/12/2017,06/06/2018,01/07/2018,04/07/2018,USD,14,47,59,1,0.97,0.4,686.08,857.6
SO - 000160,In-Store,WARE-UHY1004,31/12/2017,07/06/2018,14/06/2018,16/06/2018,USD,11,33,238,20,4.96,0.3,2880.6,3892.7
SO - 000161,In-Store,WARE-NMK1003,31/12/2017,07/06/2018,13/06/2018,15/06/2018,USD,3,26,153,21,5.99,0.07,1390.92,3477.3
SO - 000162,Online,WARE-NMK1003,31/12/2017,07/06/2018,11/06/2018,21/06/2018,USD,13,20,154,44,4.99,0.1,2803.95,3738.6
SO - 000163,Online,WARE-PUJ1005,10/04/2018,07/06/2018,10/06/2018,13/06/2018,USD,20,6,263,8,4.96,0.3,589.6,1072
SO - 000164,In-Store,WARE-NMK1003,10/04/2018,07/06/2018,01/07/2018,02/07/2018,USD,5,40,119,46,7,0.05,1761.16,2257.9
SO - 000165,Online,WARE-UHY1004,10/04/2018,07/06/2018,11/06/2018,13/06/2018,USD,18,23,233,46,3.03,0.1,751.61,1058.6
SO - 000166,Online,WARE-NBV1002,10/04/2018,07/06/2018,15/06/2018,25/06/2018,USD,13,38,77,39,4.02,0.1,1296.05,2492.4
SO - 000167,In-Store,WARE-NBV1002,10/04/2018,07/06/2018,13/06/2018,21/06/2018,USD,4,30,70,11,4.99,0.05,2465.6,3852.5
SO - 000168,Distributor,WARE-UHY1004,31/12/2017,08/06/2018,19/06/2018,25/06/2018,USD,23,42,214,37,8,0.05,132.66,241.2
SO - 000169,In-Store,WARE-XYS1001,31/12/2017,08/06/2018,11/06/2018,17/06/2018,USD,9,1,31,35,2.02,0.15,494.39,1051.9
SO - 000170,Distributor,WARE-NMK1003,31/12/2017,08/06/2018,14/06/2018,19/06/2018,USD,25,11,168,10,4.99,0.3,107.07,227.8
SO - 000171,Distributor,WARE-MKL1006,10/04/2018,08/06/2018,14/06/2018,15/06/2018,USD,24,4,334,14,4.98,0.05,506.99,1078.7
SO - 000172,Wholesale,WARE-NMK1003,10/04/2018,08/06/2018,13/06/2018,20/06/2018,USD,28,6,95,10,8.03,0.15,743.7,1005
SO - 000173,Distributor,WARE-PUJ1005,10/04/2018,08/06/2018,03/07/2018,09/07/2018,USD,24,17,290,45,4.98,0.05,1317.42,2485.7
SO - 000174,In-Store,WARE-NMK1003,10/04/2018,08/06/2018,30/06/2018,06/07/2018,USD,3,7,142,22,3.02,0.05,2154.52,2659.9
SO - 000175,In-Store,WARE-NMK1003,10/04/2018,09/06/2018,28/06/2018,03/07/2018,USD,1,1,107,1,1.01,0.08,1579.32,2224.4
SO - 000176,In-Store,WARE-MKL1006,10/04/2018,09/06/2018,12/06/2018,16/06/2018,USD,11,27,336,35,7,0.2,1260.87,2472.3
SO - 000177,In-Store,WARE-UHY1004,10/04/2018,09/06/2018,23/06/2018,24/06/2018,USD,5,33,232,15,5,0.05,799.24,1011.7
SO - 000178,Wholesale,WARE-UHY1004,10/04/2018,09/06/2018,05/07/2018,13/07/2018,USD,26,28,231,28,5.99,0.2,128.98,234.5
SO - 000179,Online,WARE-NMK1003,10/04/2018,09/06/2018,14/06/2018,17/06/2018,USD,13,42,158,11,4.01,0.07,143.72,261.3
SO - 000180,Online,WARE-XYS1001,31/12/2017,09/06/2018,27/06/2018,01/07/2018,USD,18,5,37,29,7.01,0.1,2844.69,4006.6
SO - 000181,In-Store,WARE-UHY1004,10/04/2018,09/06/2018,05/07/2018,13/07/2018,USD,3,10,208,28,7.01,0.05,866.65,1333.3
SO - 000182,In-Store,WARE-UHY1004,10/04/2018,10/06/2018,07/07/2018,09/07/2018,USD,10,34,255,15,4.98,0.05,90.45,167.5
SO - 000183,Online,WARE-MKL1006,10/04/2018,10/06/2018,28/06/2018,02/07/2018,USD,14,23,335,27,7,0.08,1821.66,3195.9
SO - 000184,Online,WARE-PUJ1005,10/04/2018,10/06/2018,30/06/2018,05/07/2018,USD,20,18,307,15,1,0.05,809.96,1051.9
SO - 000185,Online,WARE-XYS1001,31/12/2017,10/06/2018,30/06/2018,03/07/2018,USD,15,8,8,28,4.01,0.1,3540.62,5447.1
SO - 000186,Online,WARE-NMK1003,10/04/2018,10/06/2018,16/06/2018,24/06/2018,USD,13,36,201,18,1.99,0.08,1973.15,3182.5
SO - 000187,In-Store,WARE-MKL1006,31/12/2017,11/06/2018,29/06/2018,01/07/2018,USD,6,47,338,30,2.99,0.1,632.68,891.1
SO - 000188,Online,WARE-NMK1003,31/12/2017,11/06/2018,16/06/2018,19/06/2018,USD,15,27,159,31,1.97,0.2,2724.89,3892.7
SO - 000189,Online,WARE-UHY1004,31/12/2017,11/06/2018,13/06/2018,16/06/2018,USD,13,5,249,8,2.01,0.4,3360.05,3953
SO - 000190,Online,WARE-NMK1003,31/12/2017,11/06/2018,28/06/2018,07/07/2018,USD,20,38,185,5,1.98,0.3,545.51,924.6
SO - 000191,Online,WARE-NMK1003,10/04/2018,11/06/2018,07/07/2018,08/07/2018,USD,20,21,189,10,6.99,0.3,1989.63,3430.4
SO - 000192,Distributor,WARE-NMK1003,10/04/2018,11/06/2018,28/06/2018,06/07/2018,USD,22,24,171,43,7.01,0.08,622.3,1152.4
SO - 000193,Distributor,WARE-NMK1003,10/04/2018,11/06/2018,21/06/2018,24/06/2018,USD,21,25,129,37,3.98,0.1,922.59,1085.4
SO - 000194,In-Store,WARE-NMK1003,31/12/2017,12/06/2018,16/06/2018,22/06/2018,USD,5,11,147,15,5,0.1,4025.36,5031.7
SO - 000195,Distributor,WARE-NMK1003,10/04/2018,12/06/2018,28/06/2018,03/07/2018,USD,24,17,99,33,7.02,0.15,436.84,1092.1
SO - 000196,Wholesale,WARE-XYS1001,31/12/2017,12/06/2018,25/06/2018,27/06/2018,USD,27,5,23,17,6.98,0.05,144.45,187.6
SO - 000197,Online,WARE-NMK1003,31/12/2017,12/06/2018,09/07/2018,16/07/2018,USD,18,30,90,1,4,0.05,2835.17,3993.2
SO - 000198,Online,WARE-MKL1006,31/12/2017,12/06/2018,15/06/2018,18/06/2018,USD,14,9,359,15,5,0.05,1433.93,2472.3
SO - 000199,In-Store,WARE-XYS1001,10/04/2018,12/06/2018,05/07/2018,14/07/2018,USD,4,47,23,47,4.04,0.05,844.2,1206
SO - 000200,Online,WARE-NMK1003,31/12/2017,12/06/2018,22/06/2018,29/06/2018,USD,20,5,144,40,5.03,0.05,985.3,1728.6
SO - 000201,Wholesale,WARE-NMK1003,31/12/2017,12/06/2018,20/06/2018,29/06/2018,USD,28,23,136,23,6.98,0.07,1447.74,1983.2
SO - 000202,Online,WARE-NMK1003,10/04/2018,12/06/2018,10/07/2018,14/07/2018,USD,20,14,178,11,1.99,0.2,2656.55,5313.1
SO - 000203,Distributor,WARE-XYS1001,10/04/2018,12/06/2018,17/06/2018,25/06/2018,USD,20,44,58,23,5.02,0.07,566.15,871
SO - 000204,Online,WARE-NMK1003,31/12/2017,13/06/2018,27/06/2018,01/07/2018,USD,12,38,175,43,1.98,0.1,2051.41,2532.6
SO - 000205,Online,WARE-NMK1003,10/04/2018,13/06/2018,25/06/2018,26/06/2018,USD,14,14,96,1,3.97,0.07,4673.72,5916.1
SO - 000206,Online,WARE-UHY1004,31/12/2017,13/06/2018,23/06/2018,01/07/2018,USD,13,34,229,31,0.97,0.08,1443.85,2887.7
SO - 000207,In-Store,WARE-NMK1003,31/12/2017,13/06/2018,20/06/2018,22/06/2018,USD,1,13,199,11,6.95,0.1,1447.6,1855.9
SO - 000208,In-Store,WARE-XYS1001,10/04/2018,13/06/2018,17/06/2018,19/06/2018,USD,2,5,58,39,4.99,0.1,135.01,207.7
SO - 000209,In-Store,WARE-MKL1006,31/12/2017,13/06/2018,29/06/2018,06/07/2018,USD,2,2,344,3,2.96,0.05,772.78,1058.6
SO - 000210,Online,WARE-UHY1004,10/04/2018,13/06/2018,03/07/2018,13/07/2018,USD,13,17,241,20,6.99,0.1,517.37,958.1
SO - 000211,In-Store,WARE-NMK1003,10/04/2018,13/06/2018,08/07/2018,18/07/2018,USD,6,40,185,27,6.96,0.2,1675.74,2659.9
SO - 000212,In-Store,WARE-NMK1003,31/12/2017,13/06/2018,05/07/2018,13/07/2018,USD,7,15,144,8,3.01,0.1,1707.63,2217.7
SO - 000213,Online,WARE-XYS1001,31/12/2017,14/06/2018,17/06/2018,20/06/2018,USD,20,12,39,11,0.98,0.3,857.6,1715.2
SO - 000214,In-Store,WARE-PUJ1005,10/04/2018,14/06/2018,06/07/2018,09/07/2018,USD,6,25,288,32,7,0.15,1691.15,3932.9
SO - 000215,In-Store,WARE-NMK1003,31/12/2017,14/06/2018,19/06/2018,20/06/2018,USD,2,13,169,40,2.01,0.05,1909.5,2546
SO - 000216,Online,WARE-PUJ1005,31/12/2017,14/06/2018,26/06/2018,01/07/2018,USD,15,18,275,21,1.04,0.07,603,837.5
SO - 000217,Online,WARE-UHY1004,10/04/2018,14/06/2018,26/06/2018,05/07/2018,USD,16,3,219,12,3.01,0.15,1302.48,1809
SO - 000218,Wholesale,WARE-PUJ1005,10/04/2018,14/06/2018,29/06/2018,03/07/2018,USD,26,25,305,11,8.03,0.08,514.56,857.6
SO - 000219,In-Store,WARE-XYS1001,31/12/2017,14/06/2018,30/06/2018,07/07/2018,USD,8,11,7,22,6.01,0.05,1101.68,1748.7
SO - 000220,Wholesale,WARE-NBV1002,31/12/2017,14/06/2018,16/06/2018,17/06/2018,USD,28,44,78,4,1.01,0.07,582.5,1266.3
SO - 000221,In-Store,WARE-XYS1001,31/12/2017,14/06/2018,16/06/2018,22/06/2018,USD,3,30,29,9,5.03,0.1,3591.54,5058.5
SO - 000222,Distributor,WARE-XYS1001,10/04/2018,14/06/2018,28/06/2018,06/07/2018,USD,22,38,40,6,6.98,0.05,795.22,958.1
SO - 000223,Online,WARE-NMK1003,31/12/2017,14/06/2018,10/07/2018,14/07/2018,USD,19,47,121,2,7.97,0.15,756.97,1802.3
SO - 000224,In-Store,WARE-XYS1001,10/04/2018,15/06/2018,07/07/2018,16/07/2018,USD,4,17,47,32,4.01,0.08,4534.56,6298
SO - 000225,Online,WARE-XYS1001,31/12/2017,15/06/2018,02/07/2018,06/07/2018,USD,18,28,0,30,1.05,0.1,1824.34,2499.1
SO - 000226,In-Store,WARE-NMK1003,10/04/2018,15/06/2018,19/06/2018,23/06/2018,USD,8,5,198,23,3,0.1,705.51,871
SO - 000227,In-Store,WARE-UHY1004,31/12/2017,15/06/2018,12/07/2018,18/07/2018,USD,1,32,243,5,0.99,0.05,360.19,750.4
SO - 000228,Wholesale,WARE-NMK1003,10/04/2018,15/06/2018,23/06/2018,27/06/2018,USD,27,21,203,14,7.94,0.08,504.11,763.8
SO - 000229,In-Store,WARE-PUJ1005,31/12/2017,15/06/2018,26/06/2018,02/07/2018,USD,5,49,303,25,6.01,0.1,565.61,844.2
SO - 000230,In-Store,WARE-XYS1001,10/04/2018,15/06/2018,05/07/2018,14/07/2018,USD,2,6,32,27,6.99,0.05,112.36,261.3
SO - 000231,Online,WARE-NBV1002,31/12/2017,15/06/2018,06/07/2018,16/07/2018,USD,19,47,72,33,2.03,0.05,2359.94,3999.9
SO - 000232,In-Store,WARE-UHY1004,31/12/2017,15/06/2018,25/06/2018,03/07/2018,USD,4,32,251,18,6.08,0.05,811.91,1112.2
SO - 000233,In-Store,WARE-NMK1003,10/04/2018,15/06/2018,26/06/2018,04/07/2018,USD,10,18,167,2,2.02,0.08,1843.17,2633.1
SO - 000234,Distributor,WARE-NMK1003,31/12/2017,15/06/2018,09/07/2018,13/07/2018,USD,22,8,132,4,5.98,0.2,631.41,1018.4
SO - 000235,In-Store,WARE-XYS1001,10/04/2018,15/06/2018,27/06/2018,30/06/2018,USD,1,24,55,21,3.97,0.15,3444.74,5219.3
SO - 000236,Distributor,WARE-UHY1004,10/04/2018,15/06/2018,13/07/2018,20/07/2018,USD,21,11,260,26,0.98,0.15,2359.94,3999.9
SO - 000237,Online,WARE-MKL1006,10/04/2018,16/06/2018,27/06/2018,01/07/2018,USD,20,50,341,25,5,0.4,1084.8,1721.9
SO - 000238,In-Store,WARE-NMK1003,31/12/2017,16/06/2018,05/07/2018,12/07/2018,USD,10,7,195,37,6.02,0.15,456.94,737
SO - 000239,Online,WARE-XYS1001,10/04/2018,16/06/2018,07/07/2018,15/07/2018,USD,19,2,31,40,2.98,0.05,695.06,1219.4
SO - 000240,In-Store,WARE-PUJ1005,31/12/2017,16/06/2018,12/07/2018,17/07/2018,USD,2,18,279,41,8.02,0.05,712.88,891.1
SO - 000241,In-Store,WARE-NMK1003,10/04/2018,16/06/2018,14/07/2018,18/07/2018,USD,7,28,146,9,1.02,0.15,743.43,978.2
SO - 000242,In-Store,WARE-NMK1003,10/04/2018,16/06/2018,01/07/2018,10/07/2018,USD,11,47,172,17,1.01,0.15,1657.45,3946.3
SO - 000243,In-Store,WARE-NMK1003,10/04/2018,16/06/2018,05/07/2018,06/07/2018,USD,3,27,182,38,1.98,0.4,922.86,1299.8
SO - 000244,Online,WARE-NBV1002,10/04/2018,17/06/2018,14/07/2018,24/07/2018,USD,19,21,78,12,3.94,0.05,2791.49,5815.6
SO - 000245,In-Store,WARE-NMK1003,10/04/2018,17/06/2018,08/07/2018,10/07/2018,USD,3,43,123,23,6.04,0.15,655.26,1092.1
SO - 000246,Distributor,WARE-XYS1001,10/04/2018,17/06/2018,10/07/2018,17/07/2018,USD,24,42,36,18,5.99,0.15,643.2,1072
SO - 000247,Online,WARE-UHY1004,10/04/2018,17/06/2018,08/07/2018,09/07/2018,USD,17,34,219,16,4.97,0.05,2653.2,4020
SO - 000248,Online,WARE-NBV1002,10/04/2018,17/06/2018,10/07/2018,15/07/2018,USD,20,37,64,12,4.02,0.15,669.73,984.9
SO - 000249,Distributor,WARE-MKL1006,10/04/2018,17/06/2018,02/07/2018,04/07/2018,USD,21,50,341,7,7,0.05,100.23,227.8
SO - 000250,In-Store,WARE-XYS1001,31/12/2017,17/06/2018,23/06/2018,26/06/2018,USD,3,17,37,35,3,0.15,3314.36,3993.2
SO - 000251,Online,WARE-NMK1003,31/12/2017,17/06/2018,29/06/2018,08/07/2018,USD,12,25,162,26,4.04,0.07,185.72,221.1
SO - 000252,Online,WARE-NMK1003,10/04/2018,18/06/2018,04/07/2018,14/07/2018,USD,12,21,101,43,6.01,0.08,2819.63,3356.7
SO - 000253,In-Store,WARE-PUJ1005,31/12/2017,18/06/2018,09/07/2018,15/07/2018,USD,1,35,321,12,1.02,0.05,1157.22,1701.8
SO - 000254,In-Store,WARE-PUJ1005,10/04/2018,18/06/2018,08/07/2018,09/07/2018,USD,3,9,275,8,2.97,0.15,2181.19,2566.1
SO - 000255,In-Store,WARE-NMK1003,31/12/2017,18/06/2018,22/06/2018,26/06/2018,USD,6,22,100,5,4,0.05,126.03,221.1
SO - 000256,In-Store,WARE-UHY1004,10/04/2018,18/06/2018,30/06/2018,05/07/2018,USD,5,28,248,4,1.01,0.1,980.21,1782.2
SO - 000257,Distributor,WARE-NMK1003,31/12/2017,18/06/2018,15/07/2018,16/07/2018,USD,24,41,95,35,8,0.05,801.32,2003.3
SO - 000258,Distributor,WARE-XYS1001,31/12/2017,18/06/2018,09/07/2018,16/07/2018,USD,20,28,33,5,4.99,0.08,1502.68,2385.2
SO - 000259,Online,WARE-XYS1001,10/04/2018,18/06/2018,11/07/2018,17/07/2018,USD,13,22,11,21,0.97,0.1,1784.88,2231.1
SO - 000260,In-Store,WARE-NMK1003,10/04/2018,18/06/2018,02/07/2018,07/07/2018,USD,10,26,119,35,1,0.05,412.05,1005
SO - 000261,Distributor,WARE-PUJ1005,10/04/2018,18/06/2018,12/07/2018,19/07/2018,USD,23,12,289,40,7.02,0.05,1939.25,2693.4
SO - 000262,Online,WARE-NMK1003,10/04/2018,18/06/2018,10/07/2018,11/07/2018,USD,17,31,110,36,4.04,0.08,652.25,1105.5
SO - 000263,Online,WARE-NBV1002,10/04/2018,19/06/2018,10/07/2018,17/07/2018,USD,17,25,88,39,1.02,0.08,1088.42,1909.5
SO - 000264,Distributor,WARE-NMK1003,10/04/2018,19/06/2018,21/06/2018,26/06/2018,USD,21,35,178,38,6.98,0.2,850.36,1118.9
SO - 000265,In-Store,WARE-NMK1003,10/04/2018,19/06/2018,28/06/2018,03/07/2018,USD,11,45,92,8,6.99,0.2,758.11,1038.5
SO - 000266,In-Store,WARE-NMK1003,31/12/2017,19/06/2018,28/06/2018,04/07/2018,USD,1,19,127,19,6.04,0.05,4300.86,6324.8
SO - 000267,In-Store,WARE-XYS1001,31/12/2017,19/06/2018,27/06/2018,01/07/2018,USD,3,16,16,9,7,0.2,502.5,1005
SO - 000268,In-Store,WARE-NMK1003,10/04/2018,19/06/2018,14/07/2018,17/07/2018,USD,3,15,178,2,5.05,0.07,659.48,1293.1
SO - 000269,In-Store,WARE-NBV1002,10/04/2018,19/06/2018,16/07/2018,26/07/2018,USD,1,8,75,36,5.99,0.4,540.29,844.2
SO - 000270,In-Store,WARE-PUJ1005,10/04/2018,19/06/2018,07/07/2018,14/07/2018,USD,6,27,318,1,4.01,0.05,195.84,247.9
SO - 000271,Distributor,WARE-UHY1004,31/12/2017,19/06/2018,26/06/2018,28/06/2018,USD,21,12,218,21,7.02,0.3,139.36,174.2
SO - 000272,In-Store,WARE-PUJ1005,10/04/2018,20/06/2018,11/07/2018,17/07/2018,USD,2,30,277,12,5.99,0.1,707.32,1025.1
SO - 000273,Distributor,WARE-MKL1006,31/12/2017,20/06/2018,01/07/2018,06/07/2018,USD,21,19,340,23,2.98,0.15,2301.45,3068.6
SO - 000274,Online,WARE-NMK1003,31/12/2017,20/06/2018,09/07/2018,11/07/2018,USD,16,44,122,3,2,0.08,115.78,241.2
SO - 000275,In-Store,WARE-NMK1003,10/04/2018,20/06/2018,12/07/2018,17/07/2018,USD,11,24,200,47,0.99,0.2,139.36,174.2
SO - 000276,In-Store,WARE-XYS1001,31/12/2017,20/06/2018,03/07/2018,13/07/2018,USD,3,10,31,37,2.02,0.2,1804.18,2505.8
SO - 000277,Distributor,WARE-UHY1004,31/12/2017,20/06/2018,17/07/2018,20/07/2018,USD,25,35,234,31,7,0.15,1637.75,2599.6
SO - 000278,Online,WARE-NMK1003,31/12/2017,20/06/2018,24/06/2018,28/06/2018,USD,18,38,152,28,5.99,0.15,1503.48,2278
