OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,Delivery_days,CurrencyCode,_SalesTeamID,_CustomerID,_StoreID,_ProductID,Order Quantity,Discount Applied,Unit Cost(In USD),Unit Price(in USD),USD_rate,Unit_priceinINR,Unit_costinINR
SO - 000112,In-Store,WARE-NMK1003,10-Apr-2018,1-Jun-2018,7-Jun-2018,17-Jun-2018,10,USD,10,21,152,40,5,0.15,"2,762.28","6,277.90",88,552455.2,243080.64
SO - 000113,In-Store,WARE-PUJ1005,10-Apr-2018,1-Jun-2018,22-Jun-2018,2-Jul-2018,10,USD,4,36,317,39,5,0.05,641.66,"1,051.90",88,92567.2,56466.08
SO - 000114,In-Store,WARE-PUJ1005,10-Apr-2018,1-Jun-2018,7-Jun-2018,15-Jun-2018,8,USD,8,17,291,32,6,0.15,216.41,254.6,88,22404.8,19044.08
SO - 000115,In-Store,WARE-NMK1003,31-Dec-2017,1-Jun-2018,15-Jun-2018,20-Jun-2018,5,USD,9,32,138,6,6,0.15,"3,146.32","3,932.90",88,346095.2,276876.16
SO - 000116,In-Store,WARE-MKL1006,31-Dec-2017,1-Jun-2018,24-Jun-2018,2-Jul-2018,8,USD,5,11,354,25,3,0.05,700.69,"1,112.20",88,97873.6,61660.72
SO - 000117,In-Store,WARE-PUJ1005,10-Apr-2018,1-Jun-2018,19-Jun-2018,27-Jun-2018,8,USD,9,10,320,6,3,0.075,904.84,"1,239.50",88,109076,79625.92
SO - 000118,In-Store,WARE-XYS1001,10-Apr-2018,1-Jun-2018,6-Jun-2018,14-Jun-2018,8,USD,8,30,21,3,4,0.1,393.96,984.9,88,86671.2,34668.48
SO - 000119,In-Store,WARE-MKL1006,10-Apr-2018,1-Jun-2018,7-Jun-2018,15-Jun-2018,8,USD,5,5,349,20,4,0.1,"4,130.01","5,581.10",88,491136.8,363440.88
SO - 000120,Online,WARE-NMK1003,31-Dec-2017,1-Jun-2018,11-Jun-2018,17-Jun-2018,6,USD,14,23,134,24,4,0.05,"1,795.33","3,095.40",88,272395.2,157989.04
SO - 000121,Wholesale,WARE-NMK1003,10-Apr-2018,1-Jun-2018,18-Jun-2018,20-Jun-2018,2,USD,25,46,193,33,4,0.4,"1,754.06","2,278.00",88,200464,154357.28
SO - 000122,In-Store,WARE-PUJ1005,10-Apr-2018,2-Jun-2018,10-Jun-2018,16-Jun-2018,6,USD,2,14,282,1,7,0.075,654.46,991.6,88,87260.8,57592.48
SO - 000123,In-Store,WARE-XYS1001,10-Apr-2018,2-Jun-2018,26-Jun-2018,28-Jun-2018,2,USD,7,40,20,35,2,0.2,"3,064.45","3,979.80",88,350222.4,269671.6
SO - 000124,Distributor,WARE-UHY1004,31-Dec-2017,2-Jun-2018,22-Jun-2018,2-Jul-2018,10,USD,24,19,218,15,3,0.4,866.71,"1,969.80",88,173342.4,76270.48
SO - 000125,In-Store,WARE-NMK1003,10-Apr-2018,2-Jun-2018,16-Jun-2018,24-Jun-2018,8,USD,4,15,173,13,1,0.15,131.32,268,88,23584,11556.16
SO - 000126,Online,WARE-NMK1003,31-Dec-2017,2-Jun-2018,21-Jun-2018,1-Jul-2018,10,USD,18,46,110,24,7,0.1,95.81,174.2,88,15329.6,8431.28
SO - 000127,In-Store,WARE-UHY1004,31-Dec-2017,2-Jun-2018,26-Jun-2018,6-Jul-2018,10,USD,7,32,229,46,3,0.075,"2,510.09","2,988.20",88,262961.6,220887.92
SO - 000128,In-Store,WARE-UHY1004,31-Dec-2017,2-Jun-2018,20-Jun-2018,29-Jun-2018,9,USD,9,32,238,36,4,0.05,"2,679.93","3,999.90",88,351991.2,235833.84
SO - 000129,Distributor,WARE-NMK1003,10-Apr-2018,2-Jun-2018,21-Jun-2018,22-Jun-2018,1,USD,20,22,97,37,3,0.05,"2,450.32","5,976.40",88,525923.2,215628.16
SO - 000130,In-Store,WARE-NMK1003,10-Apr-2018,2-Jun-2018,27-Jun-2018,29-Jun-2018,2,USD,8,5,103,32,5,0.1,"2,378.90","2,901.10",88,255296.8,209343.2
SO - 000131,In-Store,WARE-PUJ1005,10-Apr-2018,3-Jun-2018,26-Jun-2018,5-Jul-2018,9,USD,8,29,305,23,7,0.075,"2,734.61","6,076.90",88,534767.2,240645.68
SO - 000132,Online,WARE-PUJ1005,31-Dec-2017,3-Jun-2018,5-Jun-2018,10-Jun-2018,5,USD,13,35,303,14,7,0.2,"4,186.70","5,735.20",88,504697.6,368429.6
SO - 000133,Online,WARE-UHY1004,31-Dec-2017,3-Jun-2018,30-Jun-2018,10-Jul-2018,10,USD,19,46,217,7,3,0.1,"2,077.34","3,919.50",88,344916,182805.92
SO - 000134,Online,WARE-MKL1006,31-Dec-2017,3-Jun-2018,30-Jun-2018,5-Jul-2018,5,USD,17,42,362,46,1,0.05,"3,832.67","6,083.60",88,535356.8,337274.96
SO - 000135,Wholesale,WARE-MKL1006,10-Apr-2018,3-Jun-2018,14-Jun-2018,15-Jun-2018,1,USD,26,2,335,40,5,0.075,"1,642.30","2,566.10",88,225816.8,144522.4
SO - 000136,Distributor,WARE-NBV1002,31-Dec-2017,3-Jun-2018,7-Jun-2018,13-Jun-2018,6,USD,22,28,84,38,2,0.075,"1,093.44","2,278.00",88,200464,96222.72
SO - 000137,In-Store,WARE-UHY1004,31-Dec-2017,3-Jun-2018,14-Jun-2018,21-Jun-2018,7,USD,7,46,256,1,1,0.075,120.2,261.3,88,22994.4,10577.6
SO - 000138,Online,WARE-MKL1006,31-Dec-2017,3-Jun-2018,28-Jun-2018,8-Jul-2018,10,USD,12,22,360,17,8,0.05,698.81,998.3,88,87850.4,61495.28
SO - 000139,In-Store,WARE-NMK1003,31-Dec-2017,3-Jun-2018,13-Jun-2018,21-Jun-2018,8,USD,4,34,90,40,6,0.2,"1,958.54","3,497.40",88,307771.2,172351.52
SO - 000140,In-Store,WARE-NMK1003,31-Dec-2017,3-Jun-2018,18-Jun-2018,28-Jun-2018,10,USD,9,26,196,25,4,0.05,486.89,"1,132.30",88,99642.4,42846.32
SO - 000141,In-Store,WARE-XYS1001,31-Dec-2017,3-Jun-2018,15-Jun-2018,17-Jun-2018,2,USD,7,26,40,2,7,0.05,"1,587.50","2,405.30",88,211666.4,139700
SO - 000142,Distributor,WARE-MKL1006,31-Dec-2017,3-Jun-2018,24-Jun-2018,3-Jul-2018,9,USD,24,24,367,3,8,0.05,"3,249.97","5,701.70",88,501749.6,285997.36
SO - 000143,Distributor,WARE-UHY1004,31-Dec-2017,4-Jun-2018,9-Jun-2018,16-Jun-2018,7,USD,25,18,249,34,1,0.2,"1,446.80","2,452.20",88,215793.6,127318.4
SO - 000144,In-Store,WARE-XYS1001,31-Dec-2017,4-Jun-2018,30-Jun-2018,4-Jul-2018,4,USD,11,21,6,11,3,0.05,"2,012.01","3,095.40",88,272395.2,177056.88
SO - 000145,Online,WARE-UHY1004,31-Dec-2017,4-Jun-2018,12-Jun-2018,14-Jun-2018,2,USD,15,14,212,8,4,0.4,"2,164.90","3,865.90",88,340199.2,190511.2
SO - 000146,Distributor,WARE-XYS1001,31-Dec-2017,4-Jun-2018,10-Jun-2018,15-Jun-2018,5,USD,23,3,37,11,8,0.1,"1,382.88","2,304.80",88,202822.4,121693.44
SO - 000147,Online,WARE-XYS1001,31-Dec-2017,4-Jun-2018,21-Jun-2018,24-Jun-2018,3,USD,17,13,38,35,3,0.05,"1,470.11","3,195.90",88,281239.2,129369.68
SO - 000148,Online,WARE-PUJ1005,31-Dec-2017,4-Jun-2018,19-Jun-2018,26-Jun-2018,7,USD,18,49,294,33,7,0.05,"5,161.68","6,452.10",88,567784.8,454227.84
SO - 000149,Distributor,WARE-NMK1003,31-Dec-2017,5-Jun-2018,14-Jun-2018,17-Jun-2018,3,USD,24,4,105,16,3,0.3,921.52,"2,003.30",88,176290.4,81093.76
SO - 000150,Distributor,WARE-XYS1001,10-Apr-2018,5-Jun-2018,28-Jun-2018,7-Jul-2018,9,USD,23,20,17,8,8,0.05,"1,455.24","3,638.10",88,320152.8,128061.12
SO - 000151,In-Store,WARE-NMK1003,10-Apr-2018,5-Jun-2018,14-Jun-2018,17-Jun-2018,3,USD,4,19,109,44,3,0.075,"1,822.40","2,278.00",88,200464,160371.2
SO - 000152,Online,WARE-NMK1003,10-Apr-2018,5-Jun-2018,25-Jun-2018,29-Jun-2018,4,USD,16,25,141,22,6,0.3,582.5,924.6,88,81364.8,51260
SO - 000153,Online,WARE-NMK1003,10-Apr-2018,5-Jun-2018,21-Jun-2018,1-Jul-2018,10,USD,19,8,111,16,5,0.05,"3,062.44","3,926.20",88,345505.6,269494.72
SO - 000154,Distributor,WARE-MKL1006,31-Dec-2017,5-Jun-2018,12-Jun-2018,18-Jun-2018,6,USD,23,24,349,25,4,0.075,"2,257.16","3,825.70",88,336661.6,198630.08
SO - 000155,Wholesale,WARE-MKL1006,31-Dec-2017,5-Jun-2018,3-Jul-2018,8-Jul-2018,5,USD,27,13,360,4,3,0.05,"1,377.32","2,257.90",88,198695.2,121204.16
SO - 000156,Distributor,WARE-NMK1003,31-Dec-2017,6-Jun-2018,2-Jul-2018,8-Jul-2018,6,USD,24,32,148,33,8,0.075,756.3,"1,112.20",88,97873.6,66554.4
SO - 000157,Online,WARE-NMK1003,31-Dec-2017,6-Jun-2018,22-Jun-2018,23-Jun-2018,1,USD,19,28,103,45,8,0.05,"1,814.43","3,557.70",88,313077.6,159669.84
SO - 000158,Online,WARE-NBV1002,31-Dec-2017,6-Jun-2018,9-Jun-2018,12-Jun-2018,3,USD,13,8,59,45,3,0.4,"1,233.34","2,371.80",88,208718.4,108533.92
SO - 000159,Online,WARE-NBV1002,31-Dec-2017,6-Jun-2018,1-Jul-2018,4-Jul-2018,3,USD,14,47,60,1,1,0.4,686.08,857.6,88,75468.8,60375.04
SO - 000160,In-Store,WARE-UHY1004,31-Dec-2017,7-Jun-2018,14-Jun-2018,16-Jun-2018,2,USD,11,33,238,20,5,0.3,"2,880.60","3,892.70",88,342557.6,253492.8
SO - 000161,In-Store,WARE-NMK1003,31-Dec-2017,7-Jun-2018,13-Jun-2018,15-Jun-2018,2,USD,3,26,151,21,6,0.075,"1,390.92","3,477.30",88,306002.4,122400.96
SO - 000162,Online,WARE-NMK1003,31-Dec-2017,7-Jun-2018,11-Jun-2018,21-Jun-2018,10,USD,13,20,152,44,5,0.1,"2,803.95","3,738.60",88,328996.8,246747.6
SO - 000163,Online,WARE-PUJ1005,10-Apr-2018,7-Jun-2018,10-Jun-2018,13-Jun-2018,3,USD,20,6,262,8,5,0.3,589.6,"1,072.00",88,94336,51884.8
SO - 000164,In-Store,WARE-NMK1003,10-Apr-2018,7-Jun-2018,1-Jul-2018,2-Jul-2018,1,USD,5,40,120,46,7,0.05,"1,761.16","2,257.90",88,198695.2,154982.08
SO - 000165,Online,WARE-UHY1004,10-Apr-2018,7-Jun-2018,11-Jun-2018,13-Jun-2018,2,USD,18,23,233,46,3,0.1,751.61,"1,058.60",88,93156.8,66141.68
SO - 000166,Online,WARE-NBV1002,10-Apr-2018,7-Jun-2018,15-Jun-2018,25-Jun-2018,10,USD,13,38,77,39,4,0.1,"1,296.05","2,492.40",88,219331.2,114052.4
SO - 000167,In-Store,WARE-NBV1002,10-Apr-2018,7-Jun-2018,13-Jun-2018,21-Jun-2018,8,USD,4,30,69,11,5,0.05,"2,465.60","3,852.50",88,339020,216972.8
SO - 000168,Distributor,WARE-UHY1004,31-Dec-2017,8-Jun-2018,19-Jun-2018,25-Jun-2018,6,USD,23,42,215,37,8,0.05,132.66,241.2,88,21225.6,11674.08
SO - 000169,In-Store,WARE-XYS1001,31-Dec-2017,8-Jun-2018,11-Jun-2018,17-Jun-2018,6,USD,9,1,30,35,2,0.15,494.39,"1,051.90",88,92567.2,43506.32
SO - 000170,Distributor,WARE-NMK1003,31-Dec-2017,8-Jun-2018,14-Jun-2018,19-Jun-2018,5,USD,25,11,169,10,5,0.3,107.07,227.8,88,20046.4,9422.16
SO - 000171,Distributor,WARE-MKL1006,10-Apr-2018,8-Jun-2018,14-Jun-2018,15-Jun-2018,1,USD,24,4,333,14,5,0.05,506.99,"1,078.70",88,94925.6,44615.12
SO - 000172,Wholesale,WARE-NMK1003,10-Apr-2018,8-Jun-2018,13-Jun-2018,20-Jun-2018,7,USD,28,6,96,10,8,0.15,743.7,"1,005.00",88,88440,65445.6
SO - 000173,Distributor,WARE-PUJ1005,10-Apr-2018,8-Jun-2018,3-Jul-2018,9-Jul-2018,6,USD,24,17,289,45,5,0.05,"1,317.42","2,485.70",88,218741.6,115932.96
SO - 000174,In-Store,WARE-NMK1003,10-Apr-2018,8-Jun-2018,30-Jun-2018,6-Jul-2018,6,USD,3,7,140,22,3,0.05,"2,154.52","2,659.90",88,234071.2,189597.76
SO - 000175,In-Store,WARE-NMK1003,10-Apr-2018,9-Jun-2018,28-Jun-2018,3-Jul-2018,5,USD,1,1,107,1,1,0.075,"1,579.32","2,224.40",88,195747.2,138980.16
SO - 000176,In-Store,WARE-MKL1006,10-Apr-2018,9-Jun-2018,12-Jun-2018,16-Jun-2018,4,USD,11,27,338,35,7,0.2,"1,260.87","2,472.30",88,217562.4,110956.56
SO - 000177,In-Store,WARE-UHY1004,10-Apr-2018,9-Jun-2018,23-Jun-2018,24-Jun-2018,1,USD,5,33,232,15,5,0.05,799.24,"1,011.70",88,89029.6,70333.12
SO - 000178,Wholesale,WARE-UHY1004,10-Apr-2018,9-Jun-2018,5-Jul-2018,13-Jul-2018,8,USD,26,28,231,28,6,0.2,128.98,234.5,88,20636,11350.24
SO - 000179,Online,WARE-NMK1003,10-Apr-2018,9-Jun-2018,14-Jun-2018,17-Jun-2018,3,USD,13,42,158,11,4,0.075,143.72,261.3,88,22994.4,12647.36
SO - 000180,Online,WARE-XYS1001,31-Dec-2017,9-Jun-2018,27-Jun-2018,1-Jul-2018,4,USD,18,5,36,29,7,0.1,"2,844.69","4,006.60",88,352580.8,250332.72
SO - 000181,In-Store,WARE-UHY1004,10-Apr-2018,9-Jun-2018,5-Jul-2018,13-Jul-2018,8,USD,3,10,206,28,7,0.05,866.65,"1,333.30",88,117330.4,76265.2
SO - 000182,In-Store,WARE-UHY1004,10-Apr-2018,10-Jun-2018,7-Jul-2018,9-Jul-2018,2,USD,10,34,255,15,5,0.05,90.45,167.5,88,14740,7959.6
SO - 000183,Online,WARE-MKL1006,10-Apr-2018,10-Jun-2018,28-Jun-2018,2-Jul-2018,4,USD,14,23,336,27,7,0.075,"1,821.66","3,195.90",88,281239.2,160306.08
SO - 000184,Online,WARE-PUJ1005,10-Apr-2018,10-Jun-2018,30-Jun-2018,5-Jul-2018,5,USD,20,18,307,15,1,0.05,809.96,"1,051.90",88,92567.2,71276.48
SO - 000185,Online,WARE-XYS1001,31-Dec-2017,10-Jun-2018,30-Jun-2018,3-Jul-2018,3,USD,15,8,9,28,4,0.1,"3,540.62","5,447.10",88,479344.8,311574.56
SO - 000186,Online,WARE-NMK1003,10-Apr-2018,10-Jun-2018,16-Jun-2018,24-Jun-2018,8,USD,13,36,200,18,2,0.075,"1,973.15","3,182.50",88,280060,173637.2
SO - 000187,In-Store,WARE-MKL1006,31-Dec-2017,11-Jun-2018,29-Jun-2018,1-Jul-2018,2,USD,6,47,337,30,3,0.1,632.68,891.1,88,78416.8,55675.84
SO - 000188,Online,WARE-NMK1003,31-Dec-2017,11-Jun-2018,16-Jun-2018,19-Jun-2018,3,USD,15,27,158,31,2,0.2,"2,724.89","3,892.70",88,342557.6,239790.32
SO - 000189,Online,WARE-UHY1004,31-Dec-2017,11-Jun-2018,13-Jun-2018,16-Jun-2018,3,USD,13,5,249,8,2,0.4,"3,360.05","3,953.00",88,347864,295684.4
SO - 000190,Online,WARE-NMK1003,31-Dec-2017,11-Jun-2018,28-Jun-2018,7-Jul-2018,9,USD,20,38,185,5,2,0.3,545.51,924.6,88,81364.8,48004.88
SO - 000191,Online,WARE-NMK1003,10-Apr-2018,11-Jun-2018,7-Jul-2018,8-Jul-2018,1,USD,20,21,189,10,7,0.3,"1,989.63","3,430.40",88,301875.2,175087.44
SO - 000192,Distributor,WARE-NMK1003,10-Apr-2018,11-Jun-2018,28-Jun-2018,6-Jul-2018,8,USD,22,24,170,43,7,0.075,622.3,"1,152.40",88,101411.2,54762.4
SO - 000193,Distributor,WARE-NMK1003,10-Apr-2018,11-Jun-2018,21-Jun-2018,24-Jun-2018,3,USD,21,25,130,37,4,0.1,922.59,"1,085.40",88,95515.2,81187.92
SO - 000194,In-Store,WARE-NMK1003,31-Dec-2017,12-Jun-2018,16-Jun-2018,22-Jun-2018,6,USD,5,11,149,15,5,0.1,"4,025.36","5,031.70",88,442789.6,354231.68
SO - 000195,Distributor,WARE-NMK1003,10-Apr-2018,12-Jun-2018,28-Jun-2018,3-Jul-2018,5,USD,24,17,99,33,7,0.15,436.84,"1,092.10",88,96104.8,38441.92
SO - 000196,Wholesale,WARE-XYS1001,31-Dec-2017,12-Jun-2018,25-Jun-2018,27-Jun-2018,2,USD,27,5,21,17,7,0.05,144.45,187.6,88,16508.8,12711.6
SO - 000197,Online,WARE-NMK1003,31-Dec-2017,12-Jun-2018,9-Jul-2018,16-Jul-2018,7,USD,18,30,90,1,4,0.05,"2,835.17","3,993.20",88,351401.6,249494.96
SO - 000198,Online,WARE-MKL1006,31-Dec-2017,12-Jun-2018,15-Jun-2018,18-Jun-2018,3,USD,14,9,360,15,5,0.05,"1,433.93","2,472.30",88,217562.4,126185.84
SO - 000199,In-Store,WARE-XYS1001,10-Apr-2018,12-Jun-2018,5-Jul-2018,14-Jul-2018,9,USD,4,47,23,47,4,0.05,844.2,"1,206.00",88,106128,74289.6
SO - 000200,Online,WARE-NMK1003,31-Dec-2017,12-Jun-2018,22-Jun-2018,29-Jun-2018,7,USD,20,5,144,40,5,0.05,985.3,"1,728.60",88,152116.8,86706.4
SO - 000201,Wholesale,WARE-NMK1003,31-Dec-2017,12-Jun-2018,20-Jun-2018,29-Jun-2018,9,USD,28,23,134,23,7,0.075,"1,447.74","1,983.20",88,174521.6,127401.12
SO - 000202,Online,WARE-NMK1003,10-Apr-2018,12-Jun-2018,10-Jul-2018,14-Jul-2018,4,USD,20,14,180,11,2,0.2,"2,656.55","5,313.10",88,467552.8,233776.4
SO - 000203,Distributor,WARE-XYS1001,10-Apr-2018,12-Jun-2018,17-Jun-2018,25-Jun-2018,8,USD,20,44,58,23,5,0.075,566.15,871,88,76648,49821.2
SO - 000204,Online,WARE-NMK1003,31-Dec-2017,13-Jun-2018,27-Jun-2018,1-Jul-2018,4,USD,12,38,175,43,2,0.1,"2,051.41","2,532.60",88,222868.8,180524.08
SO - 000205,Online,WARE-NMK1003,10-Apr-2018,13-Jun-2018,25-Jun-2018,26-Jun-2018,1,USD,14,14,95,1,4,0.075,"4,673.72","5,916.10",88,520616.8,411287.36
SO - 000206,Online,WARE-UHY1004,31-Dec-2017,13-Jun-2018,23-Jun-2018,1-Jul-2018,8,USD,13,34,231,31,1,0.075,"1,443.85","2,887.70",88,254117.6,127058.8
SO - 000207,In-Store,WARE-NMK1003,31-Dec-2017,13-Jun-2018,20-Jun-2018,22-Jun-2018,2,USD,1,13,199,11,7,0.1,"1,447.60","1,855.90",88,163319.2,127388.8
SO - 000208,In-Store,WARE-XYS1001,10-Apr-2018,13-Jun-2018,17-Jun-2018,19-Jun-2018,2,USD,2,5,58,39,5,0.1,135.01,207.7,88,18277.6,11880.88
SO - 000209,In-Store,WARE-MKL1006,31-Dec-2017,13-Jun-2018,29-Jun-2018,6-Jul-2018,7,USD,2,2,345,3,3,0.05,772.78,"1,058.60",88,93156.8,68004.64
SO - 000210,Online,WARE-UHY1004,10-Apr-2018,13-Jun-2018,3-Jul-2018,13-Jul-2018,10,USD,13,17,241,20,7,0.1,517.37,958.1,88,84312.8,45528.56
SO - 000211,In-Store,WARE-NMK1003,10-Apr-2018,13-Jun-2018,8-Jul-2018,18-Jul-2018,10,USD,6,40,186,27,7,0.2,"1,675.74","2,659.90",88,234071.2,147465.12
SO - 000212,In-Store,WARE-NMK1003,31-Dec-2017,13-Jun-2018,5-Jul-2018,13-Jul-2018,8,USD,7,15,144,8,3,0.1,"1,707.63","2,217.70",88,195157.6,150271.44
SO - 000213,Online,WARE-XYS1001,31-Dec-2017,14-Jun-2018,17-Jun-2018,20-Jun-2018,3,USD,20,12,40,11,1,0.3,857.6,"1,715.20",88,150937.6,75468.8
SO - 000214,In-Store,WARE-PUJ1005,10-Apr-2018,14-Jun-2018,6-Jul-2018,9-Jul-2018,3,USD,6,25,288,32,7,0.15,"1,691.15","3,932.90",88,346095.2,148821.2
SO - 000215,In-Store,WARE-NMK1003,31-Dec-2017,14-Jun-2018,19-Jun-2018,20-Jun-2018,1,USD,2,13,169,40,2,0.05,"1,909.50","2,546.00",88,224048,168036
SO - 000216,Online,WARE-PUJ1005,31-Dec-2017,14-Jun-2018,26-Jun-2018,1-Jul-2018,5,USD,15,18,277,21,1,0.075,603,837.5,88,73700,53064
SO - 000217,Online,WARE-UHY1004,10-Apr-2018,14-Jun-2018,26-Jun-2018,5-Jul-2018,9,USD,16,3,219,12,3,0.15,"1,302.48","1,809.00",88,159192,114618.24
SO - 000218,Wholesale,WARE-PUJ1005,10-Apr-2018,14-Jun-2018,29-Jun-2018,3-Jul-2018,4,USD,26,25,306,11,8,0.075,514.56,857.6,88,75468.8,45281.28
SO - 000219,In-Store,WARE-XYS1001,31-Dec-2017,14-Jun-2018,30-Jun-2018,7-Jul-2018,7,USD,8,11,7,22,6,0.05,"1,101.68","1,748.70",88,153885.6,96947.84
SO - 000220,Wholesale,WARE-NBV1002,31-Dec-2017,14-Jun-2018,16-Jun-2018,17-Jun-2018,1,USD,28,44,78,4,1,0.075,582.5,"1,266.30",88,111434.4,51260
SO - 000221,In-Store,WARE-XYS1001,31-Dec-2017,14-Jun-2018,16-Jun-2018,22-Jun-2018,6,USD,3,30,28,9,5,0.1,"3,591.54","5,058.50",88,445148,316055.52
SO - 000222,Distributor,WARE-XYS1001,10-Apr-2018,14-Jun-2018,28-Jun-2018,6-Jul-2018,8,USD,22,38,39,6,7,0.05,795.22,958.1,88,84312.8,69979.36
SO - 000223,Online,WARE-NMK1003,31-Dec-2017,14-Jun-2018,10-Jul-2018,14-Jul-2018,4,USD,19,47,122,2,8,0.15,756.97,"1,802.30",88,158602.4,66613.36
SO - 000224,In-Store,WARE-XYS1001,10-Apr-2018,15-Jun-2018,7-Jul-2018,16-Jul-2018,9,USD,4,17,48,32,4,0.075,"4,534.56","6,298.00",88,554224,399041.28
SO - 000225,Online,WARE-XYS1001,31-Dec-2017,15-Jun-2018,2-Jul-2018,6-Jul-2018,4,USD,18,28,1,30,1,0.1,"1,824.34","2,499.10",88,219920.8,160541.92
SO - 000226,In-Store,WARE-NMK1003,10-Apr-2018,15-Jun-2018,19-Jun-2018,23-Jun-2018,4,USD,8,5,198,23,3,0.1,705.51,871,88,76648,62084.88
SO - 000227,In-Store,WARE-UHY1004,31-Dec-2017,15-Jun-2018,12-Jul-2018,18-Jul-2018,6,USD,1,32,242,5,1,0.05,360.19,750.4,88,66035.2,31696.72
SO - 000228,Wholesale,WARE-NMK1003,10-Apr-2018,15-Jun-2018,23-Jun-2018,27-Jun-2018,4,USD,27,21,200,14,8,0.075,504.11,763.8,88,67214.4,44361.68
SO - 000229,In-Store,WARE-PUJ1005,31-Dec-2017,15-Jun-2018,26-Jun-2018,2-Jul-2018,6,USD,5,49,304,25,6,0.1,565.61,844.2,88,74289.6,49773.68
SO - 000230,In-Store,WARE-XYS1001,10-Apr-2018,15-Jun-2018,5-Jul-2018,14-Jul-2018,9,USD,2,6,31,27,7,0.05,112.36,261.3,88,22994.4,9887.68
SO - 000231,Online,WARE-NBV1002,31-Dec-2017,15-Jun-2018,6-Jul-2018,16-Jul-2018,10,USD,19,47,71,33,2,0.05,"2,359.94","3,999.90",88,351991.2,207674.72
SO - 000232,In-Store,WARE-UHY1004,31-Dec-2017,15-Jun-2018,25-Jun-2018,3-Jul-2018,8,USD,4,32,250,18,6,0.05,811.91,"1,112.20",88,97873.6,71448.08
SO - 000233,In-Store,WARE-NMK1003,10-Apr-2018,15-Jun-2018,26-Jun-2018,4-Jul-2018,8,USD,10,18,167,2,2,0.075,"1,843.17","2,633.10",88,231712.8,162198.96
SO - 000234,Distributor,WARE-NMK1003,31-Dec-2017,15-Jun-2018,9-Jul-2018,13-Jul-2018,4,USD,22,8,132,4,6,0.2,631.41,"1,018.40",88,89619.2,55564.08
SO - 000235,In-Store,WARE-XYS1001,10-Apr-2018,15-Jun-2018,27-Jun-2018,30-Jun-2018,3,USD,1,24,56,21,4,0.15,"3,444.74","5,219.30",88,459298.4,303137.12
SO - 000236,Distributor,WARE-UHY1004,10-Apr-2018,15-Jun-2018,13-Jul-2018,20-Jul-2018,7,USD,21,11,259,26,1,0.15,"2,359.94","3,999.90",88,351991.2,207674.72
SO - 000237,Online,WARE-MKL1006,10-Apr-2018,16-Jun-2018,27-Jun-2018,1-Jul-2018,4,USD,20,50,341,25,5,0.4,"1,084.80","1,721.90",88,151527.2,95462.4
